week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,1993-08-06,,Dortmund,2–1,Karlsruher,,,Hartmut Strampe,/en/matches/6d51b6de/Dortmund-Karlsruher-August-6-1993-Bundesliga,,6d51b6de
1,Fri,1993-08-06,,Hamburger SV,5–2,Nürnberg,,,Edgar Steinborn,/en/matches/3b19df2c/Hamburger-SV-Nurnberg-August-6-1993-Bundesliga,,3b19df2c
1,Fri,1993-08-06,,M'Gladbach,0–4,Eint Frankfurt,,,Hans-Joachim Osmers,/en/matches/4bf750e0/Monchengladbach-Eintracht-Frankfurt-August-6-1993-Bundesliga,,4bf750e0
1,Sat,1993-08-07,,Bayern Munich,3–1,Freiburg,,,Karl-Josef Assenmacher,/en/matches/90074f1f/Bayern-Munich-Freiburg-August-7-1993-Bundesliga,,90074f1f
1,Sat,1993-08-07,,Köln,0–2,Kaiserslautern,,,Hermann Albrecht,/en/matches/63f7992d/Koln-Kaiserslautern-August-7-1993-Bundesliga,,63f7992d
1,Sat,1993-08-07,,MSV Duisburg,2–2,Leverkusen,,,Karl-Heinz Gläser,/en/matches/f3472b9a/MSV-Duisburg-Bayer-Leverkusen-August-7-1993-Bundesliga,,f3472b9a
1,Sat,1993-08-07,,VfB Leipzig,3–3,Dresden,,,Manfred Amerell,/en/matches/282888f6/VfB-Leipzig-Dresden-August-7-1993-Bundesliga,,282888f6
1,Sat,1993-08-07,,Wattenscheid,3–0,Schalke 04,,,Eugen Strigel,/en/matches/fd5ab157/Wattenscheid-Schalke-04-August-7-1993-Bundesliga,,fd5ab157
1,Sun,1993-08-08,,Werder Bremen,5–1,Stuttgart,,,Manfred Führer,/en/matches/aa97b750/Werder-Bremen-Stuttgart-August-8-1993-Bundesliga,,aa97b750
2,Fri,1993-08-13,,Dresden,0–1,MSV Duisburg,,,Bernd Heynemann,/en/matches/36aebe4a/Dresden-MSV-Duisburg-August-13-1993-Bundesliga,,36aebe4a
