week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,2000-08-11,,Dortmund,1–0,Hansa Rostock,,,Jörg Keßler,/en/matches/f779608b/Dortmund-Hansa-Rostock-August-11-2000-Bundesliga,,f779608b
1,Sat,2000-08-12,,Bayern Munich,4–1,Hertha BSC,,,Markus Merk,/en/matches/9e4663b3/Bayern-Munich-Hertha-BSC-August-12-2000-Bundesliga,,9e4663b3
1,Sat,2000-08-12,,Freiburg,4–0,Stuttgart,,,Hellmut Krug,/en/matches/2fb5ce2d/Freiburg-Stuttgart-August-12-2000-Bundesliga,,2fb5ce2d
1,Sat,2000-08-12,,Hamburger SV,2–2,1860 Munich,,,Herbert Fandel,/en/matches/01228188/Hamburger-SV-1860-Munich-August-12-2000-Bundesliga,,01228188
1,Sat,2000-08-12,,Kaiserslautern,0–1,Bochum,,,Helmut Fleischer,/en/matches/aac8aff5/Kaiserslautern-Bochum-August-12-2000-Bundesliga,,aac8aff5
1,Sat,2000-08-12,,Leverkusen,2–0,Wolfsburg,,,Edgar Steinborn,/en/matches/587112e1/Bayer-Leverkusen-Wolfsburg-August-12-2000-Bundesliga,,587112e1
1,Sat,2000-08-12,,Werder Bremen,3–1,Energie Cottbus,,,Wolfgang Stark,/en/matches/d84cca93/Werder-Bremen-Energie-Cottbus-August-12-2000-Bundesliga,,d84cca93
1,Sun,2000-08-13,,Eint Frankfurt,3–0,Unterhaching,,,Hartmut Strampe,/en/matches/ee383840/Eintracht-Frankfurt-Unterhaching-August-13-2000-Bundesliga,,ee383840
1,Sun,2000-08-13,,Schalke 04,2–1,Köln,,,Hermann Albrecht,/en/matches/9767b7c4/Schalke-04-Koln-August-13-2000-Bundesliga,,9767b7c4
2,Fri,2000-08-18,,Energie Cottbus,1–4,Dortmund,,,Franz-Xaver Wack,/en/matches/75f965db/Energie-Cottbus-Dortmund-August-18-2000-Bundesliga,,75f965db
2,Sat,2000-08-19,,1860 Munich,2–1,Werder Bremen,,,Bernd Heynemann,/en/matches/16c73923/1860-Munich-Werder-Bremen-August-19-2000-Bundesliga,,16c73923
2,Sat,2000-08-19,,Bochum,0–3,Bayern Munich,,,Alfons Berg,/en/matches/09fb0d4b/Bochum-Bayern-Munich-August-19-2000-Bundesliga,,09fb0d4b
2,Sat,2000-08-19,,Hertha BSC,4–0,Hamburger SV,,,Jürgen Aust,/en/matches/2a8fbc9b/Hertha-BSC-Hamburger-SV-August-19-2000-Bundesliga,,2a8fbc9b
2,Sat,2000-08-19,,Stuttgart,4–1,Leverkusen,,,Herbert Fandel,/en/matches/415581d4/Stuttgart-Bayer-Leverkusen-August-19-2000-Bundesliga,,415581d4
2,Sat,2000-08-19,,Unterhaching,1–1,Freiburg,,,Lutz Wagner,/en/matches/550ea393/Unterhaching-Freiburg-August-19-2000-Bundesliga,,550ea393
2,Sat,2000-08-19,,Wolfsburg,4–0,Kaiserslautern,,,Peter Sippel,/en/matches/cd5c077c/Wolfsburg-Kaiserslautern-August-19-2000-Bundesliga,,cd5c077c
2,Sun,2000-08-20,,Hansa Rostock,0–4,Schalke 04,,,Uwe Kemmling,/en/matches/46ed625d/Hansa-Rostock-Schalke-04-August-20-2000-Bundesliga,,46ed625d
2,Sun,2000-08-20,,Köln,4–1,Eint Frankfurt,,,Jürgen Jansen,/en/matches/d811a821/Koln-Eintracht-Frankfurt-August-20-2000-Bundesliga,,d811a821
3,Tue,2000-09-05,,Freiburg,0–0,Köln,,,Florian Meyer,/en/matches/e71f8af4/Freiburg-Koln-September-5-2000-Bundesliga,,e71f8af4
3,Tue,2000-09-05,,Kaiserslautern,1–0,Stuttgart,,,Franz-Xaver Wack,/en/matches/01739090/Kaiserslautern-Stuttgart-September-5-2000-Bundesliga,,01739090
3,Tue,2000-09-05,,Leverkusen,1–0,Unterhaching,,,Bernhard Zerr,/en/matches/7cf7a515/Bayer-Leverkusen-Unterhaching-September-5-2000-Bundesliga,,7cf7a515
3,Tue,2000-09-05,,Schalke 04,3–0,Energie Cottbus,,,Edgar Steinborn,/en/matches/de96633c/Schalke-04-Energie-Cottbus-September-5-2000-Bundesliga,,de96633c
3,Wed,2000-09-06,,Bayern Munich,3–1,Wolfsburg,,,Lutz Wagner,/en/matches/0db5dcfb/Bayern-Munich-Wolfsburg-September-6-2000-Bundesliga,,0db5dcfb
3,Wed,2000-09-06,,Dortmund,2–3,1860 Munich,,,Alfons Berg,/en/matches/dcf95740/Dortmund-1860-Munich-September-6-2000-Bundesliga,,dcf95740
