week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,2004-08-06,,Werder Bremen,1–0,Schalke 04,,,Stefan Trautmann,/en/matches/a6651f13/Werder-Bremen-Schalke-04-August-6-2004-Bundesliga,,a6651f13
1,Sat,2004-08-07,,Dortmund,1–2,Wolfsburg,,,Wolfgang Stark,/en/matches/7fa4c43c/Dortmund-Wolfsburg-August-7-2004-Bundesliga,,7fa4c43c
1,Sat,2004-08-07,,Freiburg,0–0,Hansa Rostock,,,Helmut Fleischer,/en/matches/3017a963/Freiburg-Hansa-Rostock-August-7-2004-Bundesliga,,3017a963
1,Sat,2004-08-07,,Hamburger SV,0–2,Bayern Munich,,,Jürgen Jansen,/en/matches/49dc77e7/Hamburger-SV-Bayern-Munich-August-7-2004-Bundesliga,,49dc77e7
1,Sat,2004-08-07,,Hertha BSC,2–2,Bochum,,,Markus Merk,/en/matches/c29cbdd8/Hertha-BSC-Bochum-August-7-2004-Bundesliga,,c29cbdd8
1,Sat,2004-08-07,,Kaiserslautern,1–3,Nürnberg,,,Michael Weiner,/en/matches/d03295be/Kaiserslautern-Nurnberg-August-7-2004-Bundesliga,,d03295be
1,Sat,2004-08-07,,Leverkusen,2–1,Hannover 96,,,Franz-Xaver Wack,/en/matches/65f7a4f9/Bayer-Leverkusen-Hannover-96-August-7-2004-Bundesliga,,65f7a4f9
1,Sun,2004-08-08,,Arminia,0–0,M'Gladbach,,,Herbert Fandel,/en/matches/9e62d52e/Arminia-Monchengladbach-August-8-2004-Bundesliga,,9e62d52e
1,Sun,2004-08-08,,Stuttgart,4–2,Mainz 05,,,Florian Meyer,/en/matches/3a2dbd62/Stuttgart-Mainz-05-August-8-2004-Bundesliga,,3a2dbd62
2,Sat,2004-08-14,,Bayern Munich,1–1,Hertha BSC,,,Thorsten Kinhöfer,/en/matches/93fb2381/Bayern-Munich-Hertha-BSC-August-14-2004-Bundesliga,,93fb2381
2,Sat,2004-08-14,,Hansa Rostock,0–4,Werder Bremen,,,Knut Kircher,/en/matches/cd80f146/Hansa-Rostock-Werder-Bremen-August-14-2004-Bundesliga,,cd80f146
2,Sat,2004-08-14,,M'Gladbach,2–3,Dortmund,,,Lutz Wagner,/en/matches/a1067f6d/Monchengladbach-Dortmund-August-14-2004-Bundesliga,,a1067f6d
2,Sat,2004-08-14,,Mainz 05,2–1,Hamburger SV,,,Hermann Albrecht,/en/matches/30e0e5be/Mainz-05-Hamburger-SV-August-14-2004-Bundesliga,,30e0e5be
2,Sat,2004-08-14,,Nürnberg,1–1,Stuttgart,,,Uwe Kemmling,/en/matches/5ccd2230/Nurnberg-Stuttgart-August-14-2004-Bundesliga,,5ccd2230
2,Sat,2004-08-14,,Schalke 04,2–1,Kaiserslautern,,,Peter Sippel,/en/matches/73bb835d/Schalke-04-Kaiserslautern-August-14-2004-Bundesliga,,73bb835d
2,Sun,2004-08-15,,Bochum,2–2,Leverkusen,,,Lutz Michael Fröhlich,/en/matches/786828ae/Bochum-Bayer-Leverkusen-August-15-2004-Bundesliga,,786828ae
2,Sun,2004-08-15,,Wolfsburg,0–1,Freiburg,,,Markus Merk,/en/matches/7ab803b6/Wolfsburg-Freiburg-August-15-2004-Bundesliga,,7ab803b6
3,Sat,2004-08-28,,Arminia,1–2,Bochum,,,Helmut Fleischer,/en/matches/86ba71be/Arminia-Bochum-August-28-2004-Bundesliga,,86ba71be
3,Sat,2004-08-28,,Freiburg,1–1,M'Gladbach,,,Wolfgang Stark,/en/matches/4664f689/Freiburg-Monchengladbach-August-28-2004-Bundesliga,,4664f689
3,Sat,2004-08-28,,Hamburger SV,4–3,Nürnberg,,,Markus Merk,/en/matches/cf2e52c1/Hamburger-SV-Nurnberg-August-28-2004-Bundesliga,,cf2e52c1
3,Sat,2004-08-28,,Hertha BSC,1–1,Mainz 05,,,Felix Brych,/en/matches/8f523af7/Hertha-BSC-Mainz-05-August-28-2004-Bundesliga,,8f523af7
3,Sat,2004-08-28,,Kaiserslautern,2–3,Stuttgart,,,Franz-Xaver Wack,/en/matches/bbc4cfa9/Kaiserslautern-Stuttgart-August-28-2004-Bundesliga,,bbc4cfa9
3,Sat,2004-08-28,,Leverkusen,4–1,Bayern Munich,,,Herbert Fandel,/en/matches/a94b9668/Bayer-Leverkusen-Bayern-Munich-August-28-2004-Bundesliga,,a94b9668
3,Sat,2004-08-28,,Schalke 04,0–2,Hansa Rostock,,,Florian Meyer,/en/matches/f5be9cf2/Schalke-04-Hansa-Rostock-August-28-2004-Bundesliga,,f5be9cf2
3,Sun,2004-08-29,,Dortmund,1–1,Hannover 96,,,Jörg Keßler,/en/matches/5120b93c/Dortmund-Hannover-96-August-29-2004-Bundesliga,,5120b93c
3,Sun,2004-08-29,,Werder Bremen,1–2,Wolfsburg,,,Jürgen Jansen,/en/matches/06a2ccbc/Werder-Bremen-Wolfsburg-August-29-2004-Bundesliga,,06a2ccbc
