week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,2008-08-15,,Bayern Munich,2–2,Hamburger SV,,,Thorsten Kinhöfer,/en/matches/3767f9eb/Bayern-Munich-Hamburger-SV-August-15-2008-Bundesliga,,3767f9eb
1,Sat,2008-08-16,,Arminia,2–2,Werder Bremen,,,Jochen Drees,/en/matches/8f3e15f2/Arminia-Werder-Bremen-August-16-2008-Bundesliga,,8f3e15f2
1,Sat,2008-08-16,,Energie Cottbus,0–3,Hoffenheim,,,Guido Winkmann,/en/matches/35ce9b52/Energie-Cottbus-Hoffenheim-August-16-2008-Bundesliga,,35ce9b52
1,Sat,2008-08-16,,Karlsruher,1–0,Bochum,,,Michael Weiner,/en/matches/36dea45e/Karlsruher-Bochum-August-16-2008-Bundesliga,,36dea45e
1,Sat,2008-08-16,,Leverkusen,2–3,Dortmund,,,Peter Gagelmann,/en/matches/58b4b600/Bayer-Leverkusen-Dortmund-August-16-2008-Bundesliga,,58b4b600
1,Sat,2008-08-16,,Schalke 04,3–0,Hannover 96,,,Günter Perl,/en/matches/a3b240b3/Schalke-04-Hannover-96-August-16-2008-Bundesliga,,a3b240b3
1,Sat,2008-08-16,,Wolfsburg,2–1,Köln,,,Felix Brych,/en/matches/d1bec714/Wolfsburg-Koln-August-16-2008-Bundesliga,,d1bec714
1,Sun,2008-08-17,,Eint Frankfurt,0–2,Hertha BSC,,,Florian Meyer,/en/matches/69373112/Eintracht-Frankfurt-Hertha-BSC-August-17-2008-Bundesliga,,69373112
1,Sun,2008-08-17,,M'Gladbach,1–3,Stuttgart,,,Herbert Fandel,/en/matches/fa3ba6bb/Monchengladbach-Stuttgart-August-17-2008-Bundesliga,,fa3ba6bb
2,Fri,2008-08-22,,Hannover 96,0–0,Energie Cottbus,,,Peter Sippel,/en/matches/f4e62dba/Hannover-96-Energie-Cottbus-August-22-2008-Bundesliga,,f4e62dba
2,Sat,2008-08-23,,Dortmund,1–1,Bayern Munich,,,Herbert Fandel,/en/matches/3768a184/Der-Klassiker-Dortmund-Bayern-Munich-August-23-2008-Bundesliga,,3768a184
