week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Sat,2001-07-28,,1860 Munich,0–4,Kaiserslautern,,,Hellmut Krug,/en/matches/2e237671/1860-Munich-Kaiserslautern-July-28-2001-Bundesliga,,2e237671
1,Sat,2001-07-28,,Dortmund,2–0,Nürnberg,,,Michael Weiner,/en/matches/e804ca8a/Dortmund-Nurnberg-July-28-2001-Bundesliga,,e804ca8a
1,Sat,2001-07-28,,Energie Cottbus,1–0,Hamburger SV,,,Franz-Xaver Wack,/en/matches/c4bdd7e2/Energie-Cottbus-Hamburger-SV-July-28-2001-Bundesliga,,c4bdd7e2
1,Sat,2001-07-28,,Freiburg,3–0,Werder Bremen,,,Hartmut Strampe,/en/matches/2b7696e9/Freiburg-Werder-Bremen-July-28-2001-Bundesliga,,2b7696e9
1,Sat,2001-07-28,,Leverkusen,2–1,Wolfsburg,,,Hermann Albrecht,/en/matches/ab5b741a/Bayer-Leverkusen-Wolfsburg-July-28-2001-Bundesliga,,ab5b741a
1,Sat,2001-07-28,,M'Gladbach,1–0,Bayern Munich,,,Edgar Steinborn,/en/matches/7c8dbe55/Monchengladbach-Bayern-Munich-July-28-2001-Bundesliga,,7c8dbe55
1,Sat,2001-07-28,,Stuttgart,0–0,Köln,,,Markus Merk,/en/matches/1927ae8b/Stuttgart-Koln-July-28-2001-Bundesliga,,1927ae8b
1,Sun,2001-07-29,,St. Pauli,0–0,Hertha BSC,,,Jürgen Aust,/en/matches/4cc645ab/St-Pauli-Hertha-BSC-July-29-2001-Bundesliga,,4cc645ab
2,Sat,2001-08-04,,Bayern Munich,3–0,Schalke 04,,,Herbert Fandel,/en/matches/e7f8025f/Bayern-Munich-Schalke-04-August-4-2001-Bundesliga,,e7f8025f
2,Sat,2001-08-04,,Hamburger SV,2–0,Stuttgart,,,Lutz Wagner,/en/matches/90f4414e/Hamburger-SV-Stuttgart-August-4-2001-Bundesliga,,90f4414e
