round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
Regular season,2,Sat,2016-09-10,15:30,Ingolstadt 04,0–2,Hertha BSC,14100,Audi-Sportpark,Jochen Drees,/en/matches/dd9f6c92/Ingolstadt-04-Hertha-BSC-September-10-2016-Bundesliga,,dd9f6c92
Regular season,2,Sat,2016-09-10,15:30,Leverkusen,3–1,Hamburger SV,30210,BayArena,Tobias Welz,/en/matches/4629b3cc/Bayer-Leverkusen-Hamburger-SV-September-10-2016-Bundesliga,,4629b3cc
Regular season,2,Sat,2016-09-10,18:30,RB Leipzig,1–0,Dortmund,42558,Red Bull Arena,Wolfgang Stark,/en/matches/793a1849/RB-Leipzig-Dortmund-September-10-2016-Bundesliga,,793a1849
Regular season,2,Sat,2016-09-10,15:30,Wolfsburg,0–0,Köln,29067,Volkswagen Arena,Guido Winkmann,/en/matches/7a8555cc/Wolfsburg-Koln-September-10-2016-Bundesliga,,7a8555cc
Regular season,2,Sun,2016-09-11,17:30,Mainz 05,4–4,Hoffenheim,27408,Opel Arena,Markus Schmidt,/en/matches/2a1b832d/Mainz-05-Hoffenheim-September-11-2016-Bundesliga,,2a1b832d
Regular season,2,Sun,2016-09-11,15:30,Werder Bremen,1–2,Augsburg,39430,Weserstadion,Daniel Siebert,/en/matches/03144581/Werder-Bremen-Augsburg-September-11-2016-Bundesliga,,03144581
Regular season,3,Fri,2016-09-16,20:30,Köln,3–0,Freiburg,47200,RheinEnergieSTADION,Felix Zwayer,/en/matches/2f2d28e4/Koln-Freiburg-September-16-2016-Bundesliga,,2f2d28e4
Regular season,3,Sat,2016-09-17,15:30,Bayern Munich,3–1,Ingolstadt 04,75000,Allianz Arena,Patrick Ittrich,/en/matches/0f9d50d6/Bayern-Munich-Ingolstadt-04-September-17-2016-Bundesliga,,0f9d50d6
Regular season,3,Sat,2016-09-17,15:30,Dortmund,6–0,Darmstadt 98,81360,Signal Iduna Park,Benjamin Brand,/en/matches/3d0a5cdb/Dortmund-Darmstadt-98-September-17-2016-Bundesliga,,3d0a5cdb
Regular season,3,Sat,2016-09-17,15:30,Eint Frankfurt,2–1,Leverkusen,43000,Commerzbank-Arena,Christian Dingert,/en/matches/e558ac70/Eintracht-Frankfurt-Bayer-Leverkusen-September-17-2016-Bundesliga,,e558ac70
Regular season,3,Sat,2016-09-17,15:30,Hamburger SV,0–4,RB Leipzig,52998,Volksparkstadion,Robert Kampka,/en/matches/c8b133fd/Hamburger-SV-RB-Leipzig-September-17-2016-Bundesliga,,c8b133fd
Regular season,3,Sat,2016-09-17,15:30,Hoffenheim,0–0,Wolfsburg,23295,Wirsol Rhein-Neckar-Arena,Günter Perl,/en/matches/f3552211/Hoffenheim-Wolfsburg-September-17-2016-Bundesliga,,f3552211
Regular season,3,Sat,2016-09-17,18:30,M'Gladbach,4–1,Werder Bremen,54014,Stadion im Borussia-Park,Tobias Stieler,/en/matches/539cf0a1/Monchengladbach-Werder-Bremen-September-17-2016-Bundesliga,,539cf0a1
Regular season,3,Sun,2016-09-18,15:30,Augsburg,1–3,Mainz 05,26115,WWK Arena,Bastian Dankert,/en/matches/4e7fea6b/Augsburg-Mainz-05-September-18-2016-Bundesliga,,4e7fea6b
Regular season,3,Sun,2016-09-18,17:30,Hertha BSC,2–0,Schalke 04,49251,Olympiastadion Berlin,Deniz Aytekin,/en/matches/97b99d95/Hertha-BSC-Schalke-04-September-18-2016-Bundesliga,,97b99d95
Regular season,4,Tue,2016-09-20,20:00,Darmstadt 98,1–1,Hoffenheim,15800,Jonathan-Heimes-Stadion am Böllenfalltor,Frank Willenborg,/en/matches/570fb18b/Darmstadt-98-Hoffenheim-September-20-2016-Bundesliga,,570fb18b
Regular season,4,Tue,2016-09-20,20:00,Freiburg,1–0,Hamburger SV,24000,Schwarzwald-Stadion,Markus Schmidt,/en/matches/d88e219a/Freiburg-Hamburger-SV-September-20-2016-Bundesliga,,d88e219a
Regular season,4,Tue,2016-09-20,20:00,Ingolstadt 04,0–2,Eint Frankfurt,14259,Audi-Sportpark,Sascha Stegemann,/en/matches/fff18f72/Ingolstadt-04-Eintracht-Frankfurt-September-20-2016-Bundesliga,,fff18f72
Regular season,4,Tue,2016-09-20,20:00,Wolfsburg,1–5,Dortmund,30000,Volkswagen Arena,Daniel Siebert,/en/matches/9844a316/Wolfsburg-Dortmund-September-20-2016-Bundesliga,,9844a316
Regular season,4,Wed,2016-09-21,20:00,Bayern Munich,3–0,Hertha BSC,75000,Allianz Arena,Marco Fritz,/en/matches/4e797276/Bayern-Munich-Hertha-BSC-September-21-2016-Bundesliga,,4e797276
Regular season,4,Wed,2016-09-21,20:00,Leverkusen,0–0,Augsburg,24097,BayArena,Jochen Drees,/en/matches/7c957c04/Bayer-Leverkusen-Augsburg-September-21-2016-Bundesliga,,7c957c04
Regular season,4,Wed,2016-09-21,20:00,RB Leipzig,1–1,M'Gladbach,42558,Red Bull Arena,Manuel Gräfe,/en/matches/b17f1926/RB-Leipzig-Monchengladbach-September-21-2016-Bundesliga,,b17f1926
Regular season,4,Wed,2016-09-21,20:00,Schalke 04,1–3,Köln,60876,Veltins-Arena,Robert Hartmann,/en/matches/367308b3/Schalke-04-Koln-September-21-2016-Bundesliga,,367308b3
Regular season,4,Wed,2016-09-21,20:00,Werder Bremen,1–2,Mainz 05,37108,Weserstadion,Wolfgang Stark,/en/matches/9526d976/Werder-Bremen-Mainz-05-September-21-2016-Bundesliga,,9526d976
Regular season,5,Fri,2016-09-23,20:30,Dortmund,3–1,Freiburg,80800,Signal Iduna Park,Christian Dingert,/en/matches/d091feb4/Dortmund-Freiburg-September-23-2016-Bundesliga,,d091feb4
Regular season,5,Sat,2016-09-24,15:30,Augsburg,1–0,Darmstadt 98,28113,WWK Arena,Guido Winkmann,/en/matches/561caacb/Augsburg-Darmstadt-98-September-24-2016-Bundesliga,,561caacb
Regular season,5,Sat,2016-09-24,15:30,Eint Frankfurt,3–3,Hertha BSC,45000,Commerzbank-Arena,Felix Brych,/en/matches/30d4791b/Eintracht-Frankfurt-Hertha-BSC-September-24-2016-Bundesliga,,30d4791b
Regular season,5,Sat,2016-09-24,15:30,Hamburger SV,0–1,Bayern Munich,57000,Volksparkstadion,Felix Zwayer,/en/matches/9a6c92ce/Hamburger-SV-Bayern-Munich-September-24-2016-Bundesliga,,9a6c92ce
Regular season,5,Sat,2016-09-24,15:30,M'Gladbach,2–0,Ingolstadt 04,50112,Stadion im Borussia-Park,Bastian Dankert,/en/matches/b1d386e6/Monchengladbach-Ingolstadt-04-September-24-2016-Bundesliga,,b1d386e6
Regular season,5,Sat,2016-09-24,15:30,Mainz 05,2–3,Leverkusen,25274,Opel Arena,Günter Perl,/en/matches/b459a01b/Mainz-05-Bayer-Leverkusen-September-24-2016-Bundesliga,,b459a01b
Regular season,5,Sat,2016-09-24,18:30,Werder Bremen,2–1,Wolfsburg,40153,Weserstadion,Deniz Aytekin,/en/matches/b5c66524/Werder-Bremen-Wolfsburg-September-24-2016-Bundesliga,,b5c66524
Regular season,5,Sun,2016-09-25,15:30,Hoffenheim,2–1,Schalke 04,29288,Wirsol Rhein-Neckar-Arena,Tobias Welz,/en/matches/d732e6dc/Hoffenheim-Schalke-04-September-25-2016-Bundesliga,,d732e6dc
Regular season,5,Sun,2016-09-25,17:45,Köln,1–1,RB Leipzig,48500,RheinEnergieSTADION,Benjamin Cortus,/en/matches/e06dea7c/Koln-RB-Leipzig-September-25-2016-Bundesliga,,e06dea7c
Regular season,6,Fri,2016-09-30,20:30,RB Leipzig,2–1,Augsburg,35721,Red Bull Arena,Harm Osmers,/en/matches/c1f3d94f/RB-Leipzig-Augsburg-September-30-2016-Bundesliga,,c1f3d94f
Regular season,6,Sat,2016-10-01,15:30,Bayern Munich,1–1,Köln,75000,Allianz Arena,Daniel Siebert,/en/matches/24f1dbaf/Bayern-Munich-Koln-October-1-2016-Bundesliga,,24f1dbaf
Regular season,6,Sat,2016-10-01,15:30,Darmstadt 98,2–2,Werder Bremen,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Jochen Drees,/en/matches/ace7dcea/Darmstadt-98-Werder-Bremen-October-1-2016-Bundesliga,,ace7dcea
Regular season,6,Sat,2016-10-01,15:30,Freiburg,1–0,Eint Frankfurt,24000,Schwarzwald-Stadion,Marco Fritz,/en/matches/f367f926/Freiburg-Eintracht-Frankfurt-October-1-2016-Bundesliga,,f367f926
Regular season,6,Sat,2016-10-01,15:30,Hertha BSC,2–0,Hamburger SV,57656,Olympiastadion Berlin,Guido Winkmann,/en/matches/a2b164e3/Hertha-BSC-Hamburger-SV-October-1-2016-Bundesliga,,a2b164e3
Regular season,6,Sat,2016-10-01,15:30,Ingolstadt 04,1–2,Hoffenheim,13844,Audi-Sportpark,Robert Kampka,/en/matches/33783801/Ingolstadt-04-Hoffenheim-October-1-2016-Bundesliga,,33783801
Regular season,6,Sat,2016-10-01,18:30,Leverkusen,2–0,Dortmund,30210,BayArena,Manuel Gräfe,/en/matches/26e1c416/Bayer-Leverkusen-Dortmund-October-1-2016-Bundesliga,,26e1c416
Regular season,6,Sun,2016-10-02,17:30,Schalke 04,4–0,M'Gladbach,62271,Veltins-Arena,Sascha Stegemann,/en/matches/af663b73/Schalke-04-Monchengladbach-October-2-2016-Bundesliga,,af663b73
Regular season,6,Sun,2016-10-02,15:30,Wolfsburg,0–0,Mainz 05,25876,Volkswagen Arena,Benjamin Brand,/en/matches/6c915cbd/Wolfsburg-Mainz-05-October-2-2016-Bundesliga,,6c915cbd
Regular season,7,Fri,2016-10-14,20:30,Dortmund,1–1,Hertha BSC,80800,Signal Iduna Park,Patrick Ittrich,/en/matches/f2f2bae4/Dortmund-Hertha-BSC-October-14-2016-Bundesliga,,f2f2bae4
Regular season,7,Sat,2016-10-15,15:30,Augsburg,1–1,Schalke 04,30660,WWK Arena,Tobias Stieler,/en/matches/b385814d/Augsburg-Schalke-04-October-15-2016-Bundesliga,,b385814d
Regular season,7,Sat,2016-10-15,15:30,Eint Frankfurt,2–2,Bayern Munich,49500,Commerzbank-Arena,Bastian Dankert,/en/matches/c3a0318c/Eintracht-Frankfurt-Bayern-Munich-October-15-2016-Bundesliga,,c3a0318c
Regular season,7,Sat,2016-10-15,15:30,Hoffenheim,2–1,Freiburg,28540,Wirsol Rhein-Neckar-Arena,Deniz Aytekin,/en/matches/e2013f68/Hoffenheim-Freiburg-October-15-2016-Bundesliga,,e2013f68
Regular season,7,Sat,2016-10-15,15:30,Köln,2–1,Ingolstadt 04,49200,RheinEnergieSTADION,Tobias Welz,/en/matches/2e3836dc/Koln-Ingolstadt-04-October-15-2016-Bundesliga,,2e3836dc
Regular season,7,Sat,2016-10-15,15:30,M'Gladbach,0–0,Hamburger SV,53636,Stadion im Borussia-Park,Wolfgang Stark,/en/matches/de6f03ee/Monchengladbach-Hamburger-SV-October-15-2016-Bundesliga,,de6f03ee
Regular season,7,Sat,2016-10-15,18:30,Werder Bremen,2–1,Leverkusen,41000,Weserstadion,Marco Fritz,/en/matches/d7a302ba/Werder-Bremen-Bayer-Leverkusen-October-15-2016-Bundesliga,,d7a302ba
Regular season,7,Sun,2016-10-16,15:30,Mainz 05,2–1,Darmstadt 98,29987,Opel Arena,Felix Brych,/en/matches/c853a35f/Mainz-05-Darmstadt-98-October-16-2016-Bundesliga,,c853a35f
Regular season,7,Sun,2016-10-16,17:30,Wolfsburg,0–1,RB Leipzig,30000,Volkswagen Arena,Sascha Stegemann,/en/matches/c615f2b8/Wolfsburg-RB-Leipzig-October-16-2016-Bundesliga,,c615f2b8
Regular season,8,Fri,2016-10-21,20:30,Hamburger SV,0–3,Eint Frankfurt,52258,Volksparkstadion,Günter Perl,/en/matches/eb30fb3e/Hamburger-SV-Eintracht-Frankfurt-October-21-2016-Bundesliga,,eb30fb3e
Regular season,8,Sat,2016-10-22,18:30,Bayern Munich,2–0,M'Gladbach,75000,Allianz Arena,Jochen Drees,/en/matches/e490e52d/Bayern-Munich-Monchengladbach-October-22-2016-Bundesliga,,e490e52d
Regular season,8,Sat,2016-10-22,15:30,Darmstadt 98,3–1,Wolfsburg,15300,Jonathan-Heimes-Stadion am Böllenfalltor,Markus Schmidt,/en/matches/0b702990/Darmstadt-98-Wolfsburg-October-22-2016-Bundesliga,,0b702990
Regular season,8,Sat,2016-10-22,15:30,Freiburg,2–1,Augsburg,24000,Schwarzwald-Stadion,Manuel Gräfe,/en/matches/49cbcc09/Freiburg-Augsburg-October-22-2016-Bundesliga,,49cbcc09
Regular season,8,Sat,2016-10-22,15:30,Hertha BSC,2–1,Köln,60576,Olympiastadion Berlin,Frank Willenborg,/en/matches/23fa541e/Hertha-BSC-Koln-October-22-2016-Bundesliga,,23fa541e
Regular season,8,Sat,2016-10-22,15:30,Ingolstadt 04,3–3,Dortmund,15200,Audi-Sportpark,Felix Zwayer,/en/matches/b16ab9a3/Ingolstadt-04-Dortmund-October-22-2016-Bundesliga,,b16ab9a3
Regular season,8,Sat,2016-10-22,15:30,Leverkusen,0–3,Hoffenheim,28716,BayArena,Bastian Dankert,/en/matches/a106206b/Bayer-Leverkusen-Hoffenheim-October-22-2016-Bundesliga,,a106206b
Regular season,8,Sun,2016-10-23,15:30,RB Leipzig,3–1,Werder Bremen,42558,Red Bull Arena,Robert Hartmann,/en/matches/fd429812/RB-Leipzig-Werder-Bremen-October-23-2016-Bundesliga,,fd429812
Regular season,8,Sun,2016-10-23,17:30,Schalke 04,3–0,Mainz 05,59357,Veltins-Arena,Daniel Siebert,/en/matches/a772d24a/Schalke-04-Mainz-05-October-23-2016-Bundesliga,,a772d24a
Regular season,9,Fri,2016-10-28,20:30,M'Gladbach,0–0,Eint Frankfurt,54014,Stadion im Borussia-Park,Felix Zwayer,/en/matches/2e90ad34/Monchengladbach-Eintracht-Frankfurt-October-28-2016-Bundesliga,,2e90ad34
Regular season,9,Sat,2016-10-29,15:30,Augsburg,1–3,Bayern Munich,30660,WWK Arena,Christian Dingert,/en/matches/84f0c84c/Augsburg-Bayern-Munich-October-29-2016-Bundesliga,,84f0c84c
Regular season,9,Sat,2016-10-29,15:30,Darmstadt 98,0–2,RB Leipzig,16400,Jonathan-Heimes-Stadion am Böllenfalltor,Wolfgang Stark,/en/matches/4d2811b9/Darmstadt-98-RB-Leipzig-October-29-2016-Bundesliga,,4d2811b9
Regular season,9,Sat,2016-10-29,18:30,Dortmund,0–0,Schalke 04,80179,Signal Iduna Park,Felix Brych,/en/matches/e0b22c87/Revierderby-Dortmund-Schalke-04-October-29-2016-Bundesliga,,e0b22c87
Regular season,9,Sat,2016-10-29,15:30,Mainz 05,2–0,Ingolstadt 04,24197,Opel Arena,Manuel Gräfe,/en/matches/d3c5cde2/Mainz-05-Ingolstadt-04-October-29-2016-Bundesliga,,d3c5cde2
Regular season,9,Sat,2016-10-29,15:30,Werder Bremen,1–3,Freiburg,41500,Weserstadion,Guido Winkmann,/en/matches/010ea625/Werder-Bremen-Freiburg-October-29-2016-Bundesliga,,010ea625
Regular season,9,Sat,2016-10-29,15:30,Wolfsburg,1–2,Leverkusen,26398,Volkswagen Arena,Tobias Stieler,/en/matches/2abd5657/Wolfsburg-Bayer-Leverkusen-October-29-2016-Bundesliga,,2abd5657
Regular season,9,Sun,2016-10-30,15:30,Hoffenheim,1–0,Hertha BSC,28015,Wirsol Rhein-Neckar-Arena,Benjamin Cortus,/en/matches/db9ab47a/Hoffenheim-Hertha-BSC-October-30-2016-Bundesliga,,db9ab47a
Regular season,9,Sun,2016-10-30,17:30,Köln,3–0,Hamburger SV,50000,RheinEnergieSTADION,Benjamin Brand,/en/matches/94fbd85e/Koln-Hamburger-SV-October-30-2016-Bundesliga,,94fbd85e
Regular season,10,Fri,2016-11-04,20:30,Hertha BSC,3–0,M'Gladbach,51934,Olympiastadion Berlin,Tobias Stieler,/en/matches/1384f126/Hertha-BSC-Monchengladbach-November-4-2016-Bundesliga,,1384f126
Regular season,10,Sat,2016-11-05,15:30,Bayern Munich,1–1,Hoffenheim,75000,Allianz Arena,Markus Schmidt,/en/matches/b70cf62f/Bayern-Munich-Hoffenheim-November-5-2016-Bundesliga,,b70cf62f
Regular season,10,Sat,2016-11-05,18:30,Eint Frankfurt,1–0,Köln,51000,Commerzbank-Arena,Deniz Aytekin,/en/matches/fc2fa320/Eintracht-Frankfurt-Koln-November-5-2016-Bundesliga,,fc2fa320
Regular season,10,Sat,2016-11-05,15:30,Freiburg,0–3,Wolfsburg,23500,Schwarzwald-Stadion,Felix Brych,/en/matches/2320bcbd/Freiburg-Wolfsburg-November-5-2016-Bundesliga,,2320bcbd
Regular season,10,Sat,2016-11-05,15:30,Hamburger SV,2–5,Dortmund,57000,Volksparkstadion,Sascha Stegemann,/en/matches/de9b4562/Hamburger-SV-Dortmund-November-5-2016-Bundesliga,,de9b4562
Regular season,10,Sat,2016-11-05,15:30,Ingolstadt 04,0–2,Augsburg,15200,Audi-Sportpark,Jochen Drees,/en/matches/17e04c1e/Ingolstadt-04-Augsburg-November-5-2016-Bundesliga,,17e04c1e
Regular season,10,Sat,2016-11-05,15:30,Leverkusen,3–2,Darmstadt 98,28941,BayArena,Harm Osmers,/en/matches/61a3fdf2/Bayer-Leverkusen-Darmstadt-98-November-5-2016-Bundesliga,,61a3fdf2
Regular season,10,Sun,2016-11-06,15:30,RB Leipzig,3–1,Mainz 05,42558,Red Bull Arena,Marco Fritz,/en/matches/9d406fd7/RB-Leipzig-Mainz-05-November-6-2016-Bundesliga,,9d406fd7
Regular season,10,Sun,2016-11-06,17:30,Schalke 04,3–1,Werder Bremen,61263,Veltins-Arena,Günter Perl,/en/matches/1db2bb22/Schalke-04-Werder-Bremen-November-6-2016-Bundesliga,,1db2bb22
Regular season,11,Fri,2016-11-18,20:30,Leverkusen,2–3,RB Leipzig,27752,BayArena,Felix Brych,/en/matches/88a668b1/Bayer-Leverkusen-RB-Leipzig-November-18-2016-Bundesliga,,88a668b1
Regular season,11,Sat,2016-11-19,15:30,Augsburg,0–0,Hertha BSC,27007,WWK Arena,Bastian Dankert,/en/matches/8b14d1a5/Augsburg-Hertha-BSC-November-19-2016-Bundesliga,,8b14d1a5
Regular season,11,Sat,2016-11-19,15:30,Darmstadt 98,0–1,Ingolstadt 04,15000,Jonathan-Heimes-Stadion am Böllenfalltor,Christian Dingert,/en/matches/cedda38f/Darmstadt-98-Ingolstadt-04-November-19-2016-Bundesliga,,cedda38f
Regular season,11,Sat,2016-11-19,18:30,Dortmund,1–0,Bayern Munich,81360,Signal Iduna Park,Tobias Stieler,/en/matches/370d619c/Der-Klassiker-Dortmund-Bayern-Munich-November-19-2016-Bundesliga,,370d619c
Regular season,11,Sat,2016-11-19,15:30,M'Gladbach,1–2,Köln,53757,Stadion im Borussia-Park,Manuel Gräfe,/en/matches/3a6fed9d/Monchengladbach-Koln-November-19-2016-Bundesliga,,3a6fed9d
Regular season,11,Sat,2016-11-19,15:30,Mainz 05,4–2,Freiburg,26573,Opel Arena,Patrick Ittrich,/en/matches/a63d45bc/Mainz-05-Freiburg-November-19-2016-Bundesliga,,a63d45bc
Regular season,11,Sat,2016-11-19,15:30,Wolfsburg,0–1,Schalke 04,30000,Volkswagen Arena,Felix Zwayer,/en/matches/af234155/Wolfsburg-Schalke-04-November-19-2016-Bundesliga,,af234155
Regular season,11,Sun,2016-11-20,15:30,Hoffenheim,2–2,Hamburger SV,29512,Wirsol Rhein-Neckar-Arena,Robert Hartmann,/en/matches/e721a788/Hoffenheim-Hamburger-SV-November-20-2016-Bundesliga,,e721a788
Regular season,11,Sun,2016-11-20,17:30,Werder Bremen,1–2,Eint Frankfurt,39261,Weserstadion,Robert Kampka,/en/matches/8cb2e49f/Werder-Bremen-Eintracht-Frankfurt-November-20-2016-Bundesliga,,8cb2e49f
Regular season,12,Fri,2016-11-25,20:30,Freiburg,1–4,RB Leipzig,24000,Schwarzwald-Stadion,Benjamin Brand,/en/matches/893cea5d/Freiburg-RB-Leipzig-November-25-2016-Bundesliga,,893cea5d
Regular season,12,Sat,2016-11-26,18:30,Bayern Munich,2–1,Leverkusen,75000,Allianz Arena,Marco Fritz,/en/matches/fc5350ef/Bayern-Munich-Bayer-Leverkusen-November-26-2016-Bundesliga,,fc5350ef
Regular season,12,Sat,2016-11-26,15:30,Eint Frankfurt,2–1,Dortmund,51500,Commerzbank-Arena,Wolfgang Stark,/en/matches/32b60fc8/Eintracht-Frankfurt-Dortmund-November-26-2016-Bundesliga,,32b60fc8
Regular season,12,Sat,2016-11-26,15:30,Hamburger SV,2–2,Werder Bremen,55237,Volksparkstadion,Felix Brych,/en/matches/f7b73e82/Hamburger-SV-Werder-Bremen-November-26-2016-Bundesliga,,f7b73e82
Regular season,12,Sat,2016-11-26,15:30,Ingolstadt 04,1–1,Wolfsburg,13521,Audi-Sportpark,Daniel Siebert,/en/matches/e9093a0d/Ingolstadt-04-Wolfsburg-November-26-2016-Bundesliga,,e9093a0d
Regular season,12,Sat,2016-11-26,15:30,Köln,0–0,Augsburg,50000,RheinEnergieSTADION,Markus Schmidt,/en/matches/9cd4e54c/Koln-Augsburg-November-26-2016-Bundesliga,,9cd4e54c
Regular season,12,Sat,2016-11-26,15:30,M'Gladbach,1–1,Hoffenheim,51086,Stadion im Borussia-Park,Deniz Aytekin,/en/matches/6c1727e7/Monchengladbach-Hoffenheim-November-26-2016-Bundesliga,,6c1727e7
Regular season,12,Sun,2016-11-27,17:30,Hertha BSC,2–1,Mainz 05,37852,Olympiastadion Berlin,Guido Winkmann,/en/matches/fed29444/Hertha-BSC-Mainz-05-November-27-2016-Bundesliga,,fed29444
Regular season,12,Sun,2016-11-27,15:30,Schalke 04,3–1,Darmstadt 98,58703,Veltins-Arena,Frank Willenborg,/en/matches/901fd96b/Schalke-04-Darmstadt-98-November-27-2016-Bundesliga,,901fd96b
Regular season,13,Fri,2016-12-02,20:30,Mainz 05,1–3,Bayern Munich,34000,Opel Arena,Daniel Siebert,/en/matches/6d6f9673/Mainz-05-Bayern-Munich-December-2-2016-Bundesliga,,6d6f9673
Regular season,13,Sat,2016-12-03,15:30,Dortmund,4–1,M'Gladbach,81360,Signal Iduna Park,Marco Fritz,/en/matches/5ad07e36/Dortmund-Monchengladbach-December-3-2016-Bundesliga,,5ad07e36
Regular season,13,Sat,2016-12-03,15:30,Hoffenheim,4–0,Köln,29740,Wirsol Rhein-Neckar-Arena,Günter Perl,/en/matches/d1746e50/Hoffenheim-Koln-December-3-2016-Bundesliga,,d1746e50
Regular season,13,Sat,2016-12-03,15:30,Leverkusen,1–1,Freiburg,27111,BayArena,Benjamin Cortus,/en/matches/debe1cff/Bayer-Leverkusen-Freiburg-December-3-2016-Bundesliga,,debe1cff
Regular season,13,Sat,2016-12-03,18:30,RB Leipzig,2–1,Schalke 04,42558,Red Bull Arena,Bastian Dankert,/en/matches/e675a525/RB-Leipzig-Schalke-04-December-3-2016-Bundesliga,,e675a525
Regular season,13,Sat,2016-12-03,15:30,Werder Bremen,2–1,Ingolstadt 04,38438,Weserstadion,Tobias Stieler,/en/matches/43ac0706/Werder-Bremen-Ingolstadt-04-December-3-2016-Bundesliga,,43ac0706
Regular season,13,Sat,2016-12-03,15:30,Wolfsburg,2–3,Hertha BSC,25317,Volkswagen Arena,Jochen Drees,/en/matches/c6b6500b/Wolfsburg-Hertha-BSC-December-3-2016-Bundesliga,,c6b6500b
Regular season,13,Sun,2016-12-04,17:30,Augsburg,1–1,Eint Frankfurt,26549,WWK Arena,Sascha Stegemann,/en/matches/b3da10bb/Augsburg-Eintracht-Frankfurt-December-4-2016-Bundesliga,,b3da10bb
Regular season,13,Sun,2016-12-04,15:30,Darmstadt 98,0–2,Hamburger SV,17400,Jonathan-Heimes-Stadion am Böllenfalltor,Guido Winkmann,/en/matches/3fc67a81/Darmstadt-98-Hamburger-SV-December-4-2016-Bundesliga,,3fc67a81
Regular season,14,Fri,2016-12-09,20:30,Eint Frankfurt,0–0,Hoffenheim,47000,Commerzbank-Arena,Christian Dingert,/en/matches/b73d3c1b/Eintracht-Frankfurt-Hoffenheim-December-9-2016-Bundesliga,,b73d3c1b
Regular season,14,Sat,2016-12-10,15:30,Bayern Munich,5–0,Wolfsburg,75000,Allianz Arena,Sascha Stegemann,/en/matches/c15d1ba9/Bayern-Munich-Wolfsburg-December-10-2016-Bundesliga,,c15d1ba9
Regular season,14,Sat,2016-12-10,15:30,Freiburg,1–0,Darmstadt 98,24000,Schwarzwald-Stadion,Wolfgang Stark,/en/matches/a13727ef/Freiburg-Darmstadt-98-December-10-2016-Bundesliga,,a13727ef
Regular season,14,Sat,2016-12-10,15:30,Hamburger SV,1–0,Augsburg,45793,Volksparkstadion,Daniel Siebert,/en/matches/ac5478bc/Hamburger-SV-Augsburg-December-10-2016-Bundesliga,,ac5478bc
