round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
Regular season,1,Fri,2016-08-26,20:30,Bayern Munich,6–0,Werder Bremen,75000,Allianz Arena,Christian Dingert,/en/matches/cd4ef1df/Bayern-Munich-Werder-Bremen-August-26-2016-Bundesliga,,cd4ef1df
Regular season,1,Sat,2016-08-27,15:30,Augsburg,0–2,Wolfsburg,26172,WWK Arena,Sascha Stegemann,/en/matches/b4a595cd/Augsburg-Wolfsburg-August-27-2016-Bundesliga,,b4a595cd
Regular season,1,Sat,2016-08-27,15:30,Dortmund,2–1,Mainz 05,81360,Signal Iduna Park,Robert Hartmann,/en/matches/0a2c80cb/Dortmund-Mainz-05-August-27-2016-Bundesliga,,0a2c80cb
Regular season,1,Sat,2016-08-27,15:30,Eint Frankfurt,1–0,Schalke 04,47000,Commerzbank-Arena,Wolfgang Stark,/en/matches/75808fc7/Eintracht-Frankfurt-Schalke-04-August-27-2016-Bundesliga,,75808fc7
Regular season,1,Sat,2016-08-27,15:30,Hamburger SV,1–1,Ingolstadt 04,50107,Volksparkstadion,Marco Fritz,/en/matches/58ae4021/Hamburger-SV-Ingolstadt-04-August-27-2016-Bundesliga,,58ae4021
Regular season,1,Sat,2016-08-27,15:30,Köln,2–0,Darmstadt 98,50000,RheinEnergieSTADION,Patrick Ittrich,/en/matches/a2d4e20f/Koln-Darmstadt-98-August-27-2016-Bundesliga,,a2d4e20f
Regular season,1,Sat,2016-08-27,18:30,M'Gladbach,2–1,Leverkusen,52183,Stadion im Borussia-Park,Felix Brych,/en/matches/55b78c20/Monchengladbach-Bayer-Leverkusen-August-27-2016-Bundesliga,,55b78c20
Regular season,1,Sun,2016-08-28,15:30,Hertha BSC,2–1,Freiburg,41648,Olympiastadion Berlin,Benjamin Brand,/en/matches/45190f62/Hertha-BSC-Freiburg-August-28-2016-Bundesliga,,45190f62
Regular season,1,Sun,2016-08-28,17:30,Hoffenheim,2–2,RB Leipzig,24188,Wirsol Rhein-Neckar-Arena,Tobias Stieler,/en/matches/c4c261e4/Hoffenheim-RB-Leipzig-August-28-2016-Bundesliga,,c4c261e4
Regular season,2,Fri,2016-09-09,20:30,Schalke 04,0–2,Bayern Munich,62271,Veltins-Arena,Manuel Gräfe,/en/matches/315f5fe0/Schalke-04-Bayern-Munich-September-9-2016-Bundesliga,,315f5fe0
Regular season,2,Sat,2016-09-10,15:30,Darmstadt 98,1–0,Eint Frankfurt,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Felix Zwayer,/en/matches/ea76f2be/Darmstadt-98-Eintracht-Frankfurt-September-10-2016-Bundesliga,,ea76f2be
Regular season,2,Sat,2016-09-10,15:30,Freiburg,3–1,M'Gladbach,24000,Schwarzwald-Stadion,Harm Osmers,/en/matches/6ebe0d4a/Freiburg-Monchengladbach-September-10-2016-Bundesliga,,6ebe0d4a
