week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,2011-08-05,,Dortmund,3–1,Hamburger SV,,,Felix Brych,/en/matches/e3f1a734/Dortmund-Hamburger-SV-August-5-2011-Bundesliga,,e3f1a734
1,Sat,2011-08-06,,Augsburg,2–2,Freiburg,,,Jochen Drees,/en/matches/35d978ea/Augsburg-Freiburg-August-6-2011-Bundesliga,,35d978ea
1,Sat,2011-08-06,,Hannover 96,2–1,Hoffenheim,,,Thorsten Kinhöfer,/en/matches/f1e5225a/Hannover-96-Hoffenheim-August-6-2011-Bundesliga,,f1e5225a
1,Sat,2011-08-06,,Hertha BSC,0–1,Nürnberg,,,Peter Gagelmann,/en/matches/2c8dc536/Hertha-BSC-Nurnberg-August-6-2011-Bundesliga,,2c8dc536
1,Sat,2011-08-06,,Köln,0–3,Wolfsburg,,,Manuel Gräfe,/en/matches/734524e9/Koln-Wolfsburg-August-6-2011-Bundesliga,,734524e9
1,Sat,2011-08-06,,Stuttgart,3–0,Schalke 04,,,Wolfgang Stark,/en/matches/9028e221/Stuttgart-Schalke-04-August-6-2011-Bundesliga,,9028e221
1,Sat,2011-08-06,,Werder Bremen,2–0,Kaiserslautern,,,Günter Perl,/en/matches/54f216bc/Werder-Bremen-Kaiserslautern-August-6-2011-Bundesliga,,54f216bc
1,Sun,2011-08-07,,Bayern Munich,0–1,M'Gladbach,,,Babak Rafati,/en/matches/6911be88/Bayern-Munich-Monchengladbach-August-7-2011-Bundesliga,,6911be88
1,Sun,2011-08-07,,Mainz 05,2–0,Leverkusen,,,Michael Weiner,/en/matches/0c6c64cb/Mainz-05-Bayer-Leverkusen-August-7-2011-Bundesliga,,0c6c64cb
2,Sat,2011-08-13,,Freiburg,1–2,Mainz 05,,,Thorsten Kinhöfer,/en/matches/8e07cc20/Freiburg-Mainz-05-August-13-2011-Bundesliga,,8e07cc20
2,Sat,2011-08-13,,Hamburger SV,2–2,Hertha BSC,,,Wolfgang Stark,/en/matches/f0dc1b0a/Hamburger-SV-Hertha-BSC-August-13-2011-Bundesliga,,f0dc1b0a
2,Sat,2011-08-13,,Hoffenheim,1–0,Dortmund,,,Deniz Aytekin,/en/matches/5000e40c/Hoffenheim-Dortmund-August-13-2011-Bundesliga,,5000e40c
2,Sat,2011-08-13,,M'Gladbach,1–1,Stuttgart,,,Manuel Gräfe,/en/matches/ba10d92d/Monchengladbach-Stuttgart-August-13-2011-Bundesliga,,ba10d92d
2,Sat,2011-08-13,,Nürnberg,1–2,Hannover 96,,,Marco Fritz,/en/matches/26013297/Nurnberg-Hannover-96-August-13-2011-Bundesliga,,26013297
2,Sat,2011-08-13,,Schalke 04,5–1,Köln,,,Guido Winkmann,/en/matches/b32d3ba6/Schalke-04-Koln-August-13-2011-Bundesliga,,b32d3ba6
2,Sat,2011-08-13,,Wolfsburg,0–1,Bayern Munich,,,Knut Kircher,/en/matches/293640f0/Wolfsburg-Bayern-Munich-August-13-2011-Bundesliga,,293640f0
2,Sun,2011-08-14,,Kaiserslautern,1–1,Augsburg,,,Tobias Welz,/en/matches/680e0eef/Kaiserslautern-Augsburg-August-14-2011-Bundesliga,,680e0eef
2,Sun,2011-08-14,,Leverkusen,1–0,Werder Bremen,,,Felix Brych,/en/matches/a5dc5479/Bayer-Leverkusen-Werder-Bremen-August-14-2011-Bundesliga,,a5dc5479
3,Fri,2011-08-19,,M'Gladbach,4–1,Wolfsburg,,,Markus Schmidt,/en/matches/02569ccf/Monchengladbach-Wolfsburg-August-19-2011-Bundesliga,,02569ccf
3,Sat,2011-08-20,,Augsburg,0–2,Hoffenheim,,,Markus Wingenbach,/en/matches/23f0d4a0/Augsburg-Hoffenheim-August-20-2011-Bundesliga,,23f0d4a0
3,Sat,2011-08-20,,Bayern Munich,5–0,Hamburger SV,,,Michael Weiner,/en/matches/ae80daa3/Bayern-Munich-Hamburger-SV-August-20-2011-Bundesliga,,ae80daa3
3,Sat,2011-08-20,,Dortmund,2–0,Nürnberg,,,Felix Zwayer,/en/matches/4461cd71/Dortmund-Nurnberg-August-20-2011-Bundesliga,,4461cd71
3,Sat,2011-08-20,,Köln,1–1,Kaiserslautern,,,Knut Kircher,/en/matches/bcbcd38e/Koln-Kaiserslautern-August-20-2011-Bundesliga,,bcbcd38e
3,Sat,2011-08-20,,Stuttgart,0–1,Leverkusen,,,Peter Gagelmann,/en/matches/87317e71/Stuttgart-Bayer-Leverkusen-August-20-2011-Bundesliga,,87317e71
3,Sat,2011-08-20,,Werder Bremen,5–3,Freiburg,,,Peter Sippel,/en/matches/138d5be8/Werder-Bremen-Freiburg-August-20-2011-Bundesliga,,138d5be8
3,Sun,2011-08-21,,Hannover 96,1–1,Hertha BSC,,,Robert Hartmann,/en/matches/f46019aa/Hannover-96-Hertha-BSC-August-21-2011-Bundesliga,,f46019aa
3,Sun,2011-08-21,,Mainz 05,2–4,Schalke 04,,,Günter Perl,/en/matches/2825380a/Mainz-05-Schalke-04-August-21-2011-Bundesliga,,2825380a
4,Fri,2011-08-26,,Hertha BSC,1–0,Stuttgart,,,Jochen Drees,/en/matches/f1046a55/Hertha-BSC-Stuttgart-August-26-2011-Bundesliga,,f1046a55
4,Sat,2011-08-27,,Freiburg,3–0,Wolfsburg,,,Christian Dingert,/en/matches/4bc815c6/Freiburg-Wolfsburg-August-27-2011-Bundesliga,,4bc815c6
4,Sat,2011-08-27,,Hamburger SV,3–4,Köln,,,Florian Meyer,/en/matches/0dbf71e9/Hamburger-SV-Koln-August-27-2011-Bundesliga,,0dbf71e9
4,Sat,2011-08-27,,Hoffenheim,1–2,Werder Bremen,,,Babak Rafati,/en/matches/3acdac59/Hoffenheim-Werder-Bremen-August-27-2011-Bundesliga,,3acdac59
4,Sat,2011-08-27,,Kaiserslautern,0–3,Bayern Munich,,,Peter Gagelmann,/en/matches/a236dc6d/Kaiserslautern-Bayern-Munich-August-27-2011-Bundesliga,,a236dc6d
4,Sat,2011-08-27,,Leverkusen,0–0,Dortmund,,,Wolfgang Stark,/en/matches/031b33cc/Bayer-Leverkusen-Dortmund-August-27-2011-Bundesliga,,031b33cc
4,Sat,2011-08-27,,Nürnberg,1–0,Augsburg,,,Thorsten Kinhöfer,/en/matches/9a1c8299/Nurnberg-Augsburg-August-27-2011-Bundesliga,,9a1c8299
4,Sun,2011-08-28,,Hannover 96,1–1,Mainz 05,,,Deniz Aytekin,/en/matches/ac9ae762/Hannover-96-Mainz-05-August-28-2011-Bundesliga,,ac9ae762
4,Sun,2011-08-28,,Schalke 04,1–0,M'Gladbach,,,Felix Zwayer,/en/matches/e855a7cd/Schalke-04-Monchengladbach-August-28-2011-Bundesliga,,e855a7cd
5,Fri,2011-09-09,,Augsburg,1–4,Leverkusen,,,Felix Zwayer,/en/matches/9fffacea/Augsburg-Bayer-Leverkusen-September-9-2011-Bundesliga,,9fffacea
