round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
Regular season,1,Fri,2015-08-14,20:30,Bayern Munich,5–0,Hamburger SV,75000,Allianz Arena,Bastian Dankert,/en/matches/41f4152a/Bayern-Munich-Hamburger-SV-August-14-2015-Bundesliga,,41f4152a
Regular season,1,Sat,2015-08-15,15:30,Augsburg,0–1,Hertha BSC,28130,WWK Arena,Tobias Welz,/en/matches/7c19f428/Augsburg-Hertha-BSC-August-15-2015-Bundesliga,,7c19f428
Regular season,1,Sat,2015-08-15,15:30,Darmstadt 98,2–2,Hannover 96,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Felix Brych,/en/matches/c63b429d/Darmstadt-98-Hannover-96-August-15-2015-Bundesliga,,c63b429d
Regular season,1,Sat,2015-08-15,18:30,Dortmund,4–0,M'Gladbach,81359,Signal Iduna Park,Tobias Stieler,/en/matches/1a9e63f4/Dortmund-Monchengladbach-August-15-2015-Bundesliga,,1a9e63f4
Regular season,1,Sat,2015-08-15,15:30,Leverkusen,2–1,Hoffenheim,27125,BayArena,Robert Hartmann,/en/matches/8d369aa4/Bayer-Leverkusen-Hoffenheim-August-15-2015-Bundesliga,,8d369aa4
Regular season,1,Sat,2015-08-15,15:30,Mainz 05,0–1,Ingolstadt 04,27152,Opel Arena,Guido Winkmann,/en/matches/d1703ed9/Mainz-05-Ingolstadt-04-August-15-2015-Bundesliga,,d1703ed9
Regular season,1,Sat,2015-08-15,15:30,Werder Bremen,0–3,Schalke 04,42100,Weserstadion,Daniel Siebert,/en/matches/ee34899a/Werder-Bremen-Schalke-04-August-15-2015-Bundesliga,,ee34899a
Regular season,1,Sun,2015-08-16,17:30,Stuttgart,1–3,Köln,59500,Mercedes-Benz Arena,Wolfgang Stark,/en/matches/64a2dfaa/Stuttgart-Koln-August-16-2015-Bundesliga,,64a2dfaa
Regular season,1,Sun,2015-08-16,15:30,Wolfsburg,2–1,Eint Frankfurt,29126,Volkswagen Arena,Christian Dingert,/en/matches/a58866aa/Wolfsburg-Eintracht-Frankfurt-August-16-2015-Bundesliga,,a58866aa
Regular season,2,Fri,2015-08-21,20:30,Hertha BSC,1–1,Werder Bremen,56376,Olympiastadion Berlin,Sascha Stegemann,/en/matches/4ac9c5f1/Hertha-BSC-Werder-Bremen-August-21-2015-Bundesliga,,4ac9c5f1
Regular season,2,Sat,2015-08-22,15:30,Eint Frankfurt,1–1,Augsburg,45000,Commerzbank-Arena,Florian Meyer,/en/matches/2d3b1f4b/Eintracht-Frankfurt-Augsburg-August-22-2015-Bundesliga,,2d3b1f4b
Regular season,2,Sat,2015-08-22,18:30,Hamburger SV,3–2,Stuttgart,54618,Volksparkstadion,Günter Perl,/en/matches/9f847d65/Hamburger-SV-Stuttgart-August-22-2015-Bundesliga,,9f847d65
Regular season,2,Sat,2015-08-22,15:30,Hannover 96,0–1,Leverkusen,39100,HDI-Arena,Wolfgang Stark,/en/matches/7fb23581/Hannover-96-Bayer-Leverkusen-August-22-2015-Bundesliga,,7fb23581
Regular season,2,Sat,2015-08-22,15:30,Hoffenheim,1–2,Bayern Munich,30150,PreZero Arena,Tobias Stieler,/en/matches/c90fe750/Hoffenheim-Bayern-Munich-August-22-2015-Bundesliga,,c90fe750
Regular season,2,Sat,2015-08-22,15:30,Köln,1–1,Wolfsburg,46000,RheinEnergieSTADION,Knut Kircher,/en/matches/f044710e/Koln-Wolfsburg-August-22-2015-Bundesliga,,f044710e
Regular season,2,Sat,2015-08-22,15:30,Schalke 04,1–1,Darmstadt 98,61565,Veltins-Arena,Benjamin Brand,/en/matches/a6f2efa8/Schalke-04-Darmstadt-98-August-22-2015-Bundesliga,,a6f2efa8
Regular season,2,Sun,2015-08-23,15:30,Ingolstadt 04,0–4,Dortmund,15000,Audi-Sportpark,Christian Dingert,/en/matches/abe1a09e/Ingolstadt-04-Dortmund-August-23-2015-Bundesliga,,abe1a09e
Regular season,2,Sun,2015-08-23,17:30,M'Gladbach,1–2,Mainz 05,50172,Stadion im Borussia-Park,Deniz Aytekin,/en/matches/bc66df1f/Monchengladbach-Mainz-05-August-23-2015-Bundesliga,,bc66df1f
Regular season,3,Fri,2015-08-28,20:30,Wolfsburg,3–0,Schalke 04,30000,Volkswagen Arena,Felix Brych,/en/matches/35933ee8/Wolfsburg-Schalke-04-August-28-2015-Bundesliga,,35933ee8
Regular season,3,Sat,2015-08-29,15:30,Augsburg,0–1,Ingolstadt 04,30003,WWK Arena,Jochen Drees,/en/matches/59a96a03/Augsburg-Ingolstadt-04-August-29-2015-Bundesliga,,59a96a03
Regular season,3,Sat,2015-08-29,18:30,Bayern Munich,3–0,Leverkusen,75000,Allianz Arena,Florian Meyer,/en/matches/5139c561/Bayern-Munich-Bayer-Leverkusen-August-29-2015-Bundesliga,,5139c561
Regular season,3,Sat,2015-08-29,15:30,Darmstadt 98,0–0,Hoffenheim,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Marco Fritz,/en/matches/54951d26/Darmstadt-98-Hoffenheim-August-29-2015-Bundesliga,,54951d26
Regular season,3,Sat,2015-08-29,15:30,Köln,2–1,Hamburger SV,50000,RheinEnergieSTADION,Deniz Aytekin,/en/matches/c0aa1840/Koln-Hamburger-SV-August-29-2015-Bundesliga,,c0aa1840
Regular season,3,Sat,2015-08-29,15:30,Mainz 05,3–0,Hannover 96,26872,Opel Arena,Peter Sippel,/en/matches/f0a8e1d2/Mainz-05-Hannover-96-August-29-2015-Bundesliga,,f0a8e1d2
Regular season,3,Sat,2015-08-29,15:30,Stuttgart,1–4,Eint Frankfurt,49327,Mercedes-Benz Arena,Bastian Dankert,/en/matches/f8137d3d/Stuttgart-Eintracht-Frankfurt-August-29-2015-Bundesliga,,f8137d3d
Regular season,3,Sun,2015-08-30,15:30,Dortmund,3–1,Hertha BSC,80500,Signal Iduna Park,Guido Winkmann,/en/matches/7c0c20a1/Dortmund-Hertha-BSC-August-30-2015-Bundesliga,,7c0c20a1
Regular season,3,Sun,2015-08-30,17:30,Werder Bremen,2–1,M'Gladbach,42100,Weserstadion,Felix Zwayer,/en/matches/26c1ef87/Werder-Bremen-Monchengladbach-August-30-2015-Bundesliga,,26c1ef87
Regular season,4,Fri,2015-09-11,20:30,M'Gladbach,0–3,Hamburger SV,54010,Stadion im Borussia-Park,Tobias Welz,/en/matches/e65e05c1/Monchengladbach-Hamburger-SV-September-11-2015-Bundesliga,,e65e05c1
Regular season,4,Sat,2015-09-12,15:30,Bayern Munich,2–1,Augsburg,75000,Allianz Arena,Knut Kircher,/en/matches/1ff9f2fe/Bayern-Munich-Augsburg-September-12-2015-Bundesliga,,1ff9f2fe
Regular season,4,Sat,2015-09-12,18:30,Eint Frankfurt,6–2,Köln,51500,Commerzbank-Arena,Marco Fritz,/en/matches/ef50bee2/Eintracht-Frankfurt-Koln-September-12-2015-Bundesliga,,ef50bee2
Regular season,4,Sat,2015-09-12,15:30,Hannover 96,2–4,Dortmund,49000,HDI-Arena,Daniel Siebert,/en/matches/f637d749/Hannover-96-Dortmund-September-12-2015-Bundesliga,,f637d749
Regular season,4,Sat,2015-09-12,15:30,Hertha BSC,2–1,Stuttgart,45994,Olympiastadion Berlin,Tobias Stieler,/en/matches/c4862e98/Hertha-BSC-Stuttgart-September-12-2015-Bundesliga,,c4862e98
Regular season,4,Sat,2015-09-12,15:30,Ingolstadt 04,0–0,Wolfsburg,14095,Audi-Sportpark,Sascha Stegemann,/en/matches/54feb8e4/Ingolstadt-04-Wolfsburg-September-12-2015-Bundesliga,,54feb8e4
Regular season,4,Sat,2015-09-12,15:30,Leverkusen,0–1,Darmstadt 98,29396,BayArena,Peter Sippel,/en/matches/4ba0ca4b/Bayer-Leverkusen-Darmstadt-98-September-12-2015-Bundesliga,,4ba0ca4b
Regular season,4,Sun,2015-09-13,15:30,Hoffenheim,1–3,Werder Bremen,28312,PreZero Arena,Jochen Drees,/en/matches/91150cff/Hoffenheim-Werder-Bremen-September-13-2015-Bundesliga,,91150cff
Regular season,4,Sun,2015-09-13,17:30,Schalke 04,2–1,Mainz 05,60083,Veltins-Arena,Robert Hartmann,/en/matches/37a54264/Schalke-04-Mainz-05-September-13-2015-Bundesliga,,37a54264
Regular season,5,Fri,2015-09-18,20:30,Mainz 05,3–1,Hoffenheim,28973,Opel Arena,Daniel Siebert,/en/matches/a6a33a8f/Mainz-05-Hoffenheim-September-18-2015-Bundesliga,,a6a33a8f
Regular season,5,Sat,2015-09-19,15:30,Darmstadt 98,0–3,Bayern Munich,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Felix Zwayer,/en/matches/ed13ae0e/Darmstadt-98-Bayern-Munich-September-19-2015-Bundesliga,,ed13ae0e
Regular season,5,Sat,2015-09-19,15:30,Hamburger SV,0–0,Eint Frankfurt,55322,Volksparkstadion,Wolfgang Stark,/en/matches/9253000e/Hamburger-SV-Eintracht-Frankfurt-September-19-2015-Bundesliga,,9253000e
Regular season,5,Sat,2015-09-19,15:30,Köln,1–0,M'Gladbach,47800,RheinEnergieSTADION,Felix Brych,/en/matches/2a70fe82/Koln-Monchengladbach-September-19-2015-Bundesliga,,2a70fe82
Regular season,5,Sat,2015-09-19,15:30,Werder Bremen,0–1,Ingolstadt 04,40500,Weserstadion,Bastian Dankert,/en/matches/d71eaa2e/Werder-Bremen-Ingolstadt-04-September-19-2015-Bundesliga,,d71eaa2e
Regular season,5,Sat,2015-09-19,15:30,Wolfsburg,2–0,Hertha BSC,30000,Volkswagen Arena,Günter Perl,/en/matches/83dbb694/Wolfsburg-Hertha-BSC-September-19-2015-Bundesliga,,83dbb694
Regular season,5,Sun,2015-09-20,17:30,Augsburg,2–0,Hannover 96,28511,WWK Arena,Christian Dingert,/en/matches/2942e993/Augsburg-Hannover-96-September-20-2015-Bundesliga,,2942e993
Regular season,5,Sun,2015-09-20,17:30,Dortmund,3–0,Leverkusen,81359,Signal Iduna Park,Deniz Aytekin,/en/matches/6718c9e3/Dortmund-Bayer-Leverkusen-September-20-2015-Bundesliga,,6718c9e3
Regular season,5,Sun,2015-09-20,15:30,Stuttgart,0–1,Schalke 04,48510,Mercedes-Benz Arena,Manuel Gräfe,/en/matches/0a549287/Stuttgart-Schalke-04-September-20-2015-Bundesliga,,0a549287
Regular season,6,Tue,2015-09-22,20:00,Bayern Munich,5–1,Wolfsburg,75000,Allianz Arena,Tobias Stieler,/en/matches/a0f998e7/Bayern-Munich-Wolfsburg-September-22-2015-Bundesliga,,a0f998e7
Regular season,6,Tue,2015-09-22,20:00,Darmstadt 98,2–1,Werder Bremen,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Guido Winkmann,/en/matches/fdb11182/Darmstadt-98-Werder-Bremen-September-22-2015-Bundesliga,,fdb11182
Regular season,6,Tue,2015-09-22,20:00,Hertha BSC,2–0,Köln,40181,Olympiastadion Berlin,Florian Meyer,/en/matches/efe84fc2/Hertha-BSC-Koln-September-22-2015-Bundesliga,,efe84fc2
Regular season,6,Tue,2015-09-22,20:00,Ingolstadt 04,0–1,Hamburger SV,15000,Audi-Sportpark,Knut Kircher,/en/matches/24f42508/Ingolstadt-04-Hamburger-SV-September-22-2015-Bundesliga,,24f42508
Regular season,6,Wed,2015-09-23,20:00,Hannover 96,1–3,Stuttgart,36800,HDI-Arena,Sascha Stegemann,/en/matches/670f8c5a/Hannover-96-Stuttgart-September-23-2015-Bundesliga,,670f8c5a
Regular season,6,Wed,2015-09-23,20:00,Hoffenheim,1–1,Dortmund,29700,PreZero Arena,Tobias Welz,/en/matches/19b58dbc/Hoffenheim-Dortmund-September-23-2015-Bundesliga,,19b58dbc
Regular season,6,Wed,2015-09-23,20:00,Leverkusen,1–0,Mainz 05,24805,BayArena,Marco Fritz,/en/matches/9defd1de/Bayer-Leverkusen-Mainz-05-September-23-2015-Bundesliga,,9defd1de
Regular season,6,Wed,2015-09-23,20:00,M'Gladbach,4–2,Augsburg,40511,Stadion im Borussia-Park,Daniel Siebert,/en/matches/d93ed192/Monchengladbach-Augsburg-September-23-2015-Bundesliga,,d93ed192
Regular season,6,Wed,2015-09-23,20:00,Schalke 04,2–0,Eint Frankfurt,60104,Veltins-Arena,Felix Zwayer,/en/matches/db2252a9/Schalke-04-Eintracht-Frankfurt-September-23-2015-Bundesliga,,db2252a9
Regular season,7,Fri,2015-09-25,20:30,Köln,1–1,Ingolstadt 04,47800,RheinEnergieSTADION,Christian Dingert,/en/matches/8216f97c/Koln-Ingolstadt-04-September-25-2015-Bundesliga,,8216f97c
Regular season,7,Sat,2015-09-26,15:30,Augsburg,1–3,Hoffenheim,27112,WWK Arena,Manuel Gräfe,/en/matches/407c825f/Augsburg-Hoffenheim-September-26-2015-Bundesliga,,407c825f
Regular season,7,Sat,2015-09-26,18:30,Hamburger SV,0–1,Schalke 04,53192,Volksparkstadion,Jochen Drees,/en/matches/2dac27c6/Hamburger-SV-Schalke-04-September-26-2015-Bundesliga,,2dac27c6
Regular season,7,Sat,2015-09-26,15:30,Mainz 05,0–3,Bayern Munich,34000,Opel Arena,Bastian Dankert,/en/matches/8f27f083/Mainz-05-Bayern-Munich-September-26-2015-Bundesliga,,8f27f083
Regular season,7,Sat,2015-09-26,15:30,Stuttgart,1–3,M'Gladbach,51020,Mercedes-Benz Arena,Günter Perl,/en/matches/7e720e5c/Stuttgart-Monchengladbach-September-26-2015-Bundesliga,,7e720e5c
Regular season,7,Sat,2015-09-26,15:30,Werder Bremen,0–3,Leverkusen,40005,Weserstadion,Wolfgang Stark,/en/matches/c2e0306a/Werder-Bremen-Bayer-Leverkusen-September-26-2015-Bundesliga,,c2e0306a
Regular season,7,Sat,2015-09-26,15:30,Wolfsburg,1–1,Hannover 96,29236,Volkswagen Arena,Deniz Aytekin,/en/matches/6cb71ab2/Wolfsburg-Hannover-96-September-26-2015-Bundesliga,,6cb71ab2
Regular season,7,Sun,2015-09-27,17:30,Dortmund,2–2,Darmstadt 98,81359,Signal Iduna Park,Robert Hartmann,/en/matches/04b624f3/Dortmund-Darmstadt-98-September-27-2015-Bundesliga,,04b624f3
Regular season,7,Sun,2015-09-27,15:30,Eint Frankfurt,1–1,Hertha BSC,46000,Commerzbank-Arena,Benjamin Brand,/en/matches/497176c6/Eintracht-Frankfurt-Hertha-BSC-September-27-2015-Bundesliga,,497176c6
