round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
Regular season,8,Fri,2015-10-02,20:30,Darmstadt 98,2–3,Mainz 05,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Florian Meyer,/en/matches/048da3e1/Darmstadt-98-Mainz-05-October-2-2015-Bundesliga,,048da3e1
Regular season,8,Sat,2015-10-03,15:30,Hannover 96,1–0,Werder Bremen,49000,HDI-Arena,Peter Sippel,/en/matches/4378aa11/Hannover-96-Werder-Bremen-October-3-2015-Bundesliga,,4378aa11
Regular season,8,Sat,2015-10-03,15:30,Hertha BSC,3–0,Hamburger SV,65427,Olympiastadion Berlin,Felix Brych,/en/matches/63095db1/Hertha-BSC-Hamburger-SV-October-3-2015-Bundesliga,,63095db1
Regular season,8,Sat,2015-10-03,15:30,Hoffenheim,2–2,Stuttgart,30150,PreZero Arena,Deniz Aytekin,/en/matches/209c0f71/Hoffenheim-Stuttgart-October-3-2015-Bundesliga,,209c0f71
Regular season,8,Sat,2015-10-03,15:30,Ingolstadt 04,2–0,Eint Frankfurt,15000,Audi-Sportpark,Manuel Gräfe,/en/matches/ce8add24/Ingolstadt-04-Eintracht-Frankfurt-October-3-2015-Bundesliga,,ce8add24
Regular season,8,Sat,2015-10-03,15:30,M'Gladbach,2–0,Wolfsburg,52581,Stadion im Borussia-Park,Felix Zwayer,/en/matches/012ad797/Monchengladbach-Wolfsburg-October-3-2015-Bundesliga,,012ad797
Regular season,8,Sun,2015-10-04,17:30,Bayern Munich,5–1,Dortmund,75000,Allianz Arena,Marco Fritz,/en/matches/c86e8152/Der-Klassiker-Bayern-Munich-Dortmund-October-4-2015-Bundesliga,,c86e8152
Regular season,8,Sun,2015-10-04,17:30,Leverkusen,1–1,Augsburg,28475,BayArena,Tobias Stieler,/en/matches/2eaa692e/Bayer-Leverkusen-Augsburg-October-4-2015-Bundesliga,,2eaa692e
Regular season,8,Sun,2015-10-04,15:30,Schalke 04,0–3,Köln,61723,Veltins-Arena,Knut Kircher,/en/matches/7db77497/Schalke-04-Koln-October-4-2015-Bundesliga,,7db77497
Regular season,9,Fri,2015-10-16,20:30,Mainz 05,0–2,Dortmund,34000,Opel Arena,Tobias Stieler,/en/matches/1f6f55b6/Mainz-05-Dortmund-October-16-2015-Bundesliga,,1f6f55b6
Regular season,9,Sat,2015-10-17,15:30,Augsburg,0–2,Darmstadt 98,30009,WWK Arena,Sascha Stegemann,/en/matches/a1af710d/Augsburg-Darmstadt-98-October-17-2015-Bundesliga,,a1af710d
Regular season,9,Sat,2015-10-17,18:30,Eint Frankfurt,1–5,M'Gladbach,50700,Commerzbank-Arena,Florian Meyer,/en/matches/77421d4c/Eintracht-Frankfurt-Monchengladbach-October-17-2015-Bundesliga,,77421d4c
Regular season,9,Sat,2015-10-17,15:30,Hamburger SV,0–0,Leverkusen,54957,Volksparkstadion,Tobias Welz,/en/matches/ca2d425d/Hamburger-SV-Bayer-Leverkusen-October-17-2015-Bundesliga,,ca2d425d
Regular season,9,Sat,2015-10-17,15:30,Schalke 04,2–1,Hertha BSC,61336,Veltins-Arena,Marco Fritz,/en/matches/af5cc462/Schalke-04-Hertha-BSC-October-17-2015-Bundesliga,,af5cc462
Regular season,9,Sat,2015-10-17,15:30,Werder Bremen,0–1,Bayern Munich,42100,Weserstadion,Christian Dingert,/en/matches/63ace00a/Werder-Bremen-Bayern-Munich-October-17-2015-Bundesliga,,63ace00a
Regular season,9,Sat,2015-10-17,15:30,Wolfsburg,4–2,Hoffenheim,28148,Volkswagen Arena,Felix Brych,/en/matches/a8269d98/Wolfsburg-Hoffenheim-October-17-2015-Bundesliga,,a8269d98
Regular season,9,Sun,2015-10-18,15:30,Köln,0–1,Hannover 96,48700,RheinEnergieSTADION,Bastian Dankert,/en/matches/ba1aafde/Koln-Hannover-96-October-18-2015-Bundesliga,,ba1aafde
Regular season,9,Sun,2015-10-18,17:30,Stuttgart,1–0,Ingolstadt 04,45700,Mercedes-Benz Arena,Guido Winkmann,/en/matches/e04e24c7/Stuttgart-Ingolstadt-04-October-18-2015-Bundesliga,,e04e24c7
Regular season,10,Fri,2015-10-23,20:30,Hoffenheim,0–1,Hamburger SV,30000,PreZero Arena,Daniel Siebert,/en/matches/b3b315f7/Hoffenheim-Hamburger-SV-October-23-2015-Bundesliga,,b3b315f7
Regular season,10,Sat,2015-10-24,15:30,Bayern Munich,4–0,Köln,75000,Allianz Arena,Florian Meyer,/en/matches/c379f4bc/Bayern-Munich-Koln-October-24-2015-Bundesliga,,c379f4bc
Regular season,10,Sat,2015-10-24,15:30,Darmstadt 98,0–1,Wolfsburg,15800,Jonathan-Heimes-Stadion am Böllenfalltor,Günter Perl,/en/matches/365c5fa7/Darmstadt-98-Wolfsburg-October-24-2015-Bundesliga,,365c5fa7
Regular season,10,Sat,2015-10-24,15:30,Hannover 96,1–2,Eint Frankfurt,44200,HDI-Arena,Felix Zwayer,/en/matches/a9eebfba/Hannover-96-Eintracht-Frankfurt-October-24-2015-Bundesliga,,a9eebfba
Regular season,10,Sat,2015-10-24,18:30,Ingolstadt 04,0–1,Hertha BSC,15000,Audi-Sportpark,Sascha Stegemann,/en/matches/ed7d9140/Ingolstadt-04-Hertha-BSC-October-24-2015-Bundesliga,,ed7d9140
Regular season,10,Sat,2015-10-24,15:30,Leverkusen,4–3,Stuttgart,30210,BayArena,Felix Brych,/en/matches/d6efe8d0/Bayer-Leverkusen-Stuttgart-October-24-2015-Bundesliga,,d6efe8d0
Regular season,10,Sat,2015-10-24,15:30,Mainz 05,1–3,Werder Bremen,30837,Opel Arena,Robert Hartmann,/en/matches/783d22dc/Mainz-05-Werder-Bremen-October-24-2015-Bundesliga,,783d22dc
Regular season,10,Sun,2015-10-25,15:30,Dortmund,5–1,Augsburg,81359,Signal Iduna Park,Manuel Gräfe,/en/matches/449e1e70/Dortmund-Augsburg-October-25-2015-Bundesliga,,449e1e70
Regular season,10,Sun,2015-10-25,17:30,M'Gladbach,3–1,Schalke 04,54010,Stadion im Borussia-Park,Wolfgang Stark,/en/matches/66e4eeb5/Monchengladbach-Schalke-04-October-25-2015-Bundesliga,,66e4eeb5
Regular season,11,Fri,2015-10-30,20:30,Eint Frankfurt,0–0,Bayern Munich,51500,Commerzbank-Arena,Daniel Siebert,/en/matches/91b7a4e4/Eintracht-Frankfurt-Bayern-Munich-October-30-2015-Bundesliga,,91b7a4e4
Regular season,11,Sat,2015-10-31,15:30,Augsburg,3–3,Mainz 05,27200,WWK Arena,Marco Fritz,/en/matches/234ad752/Augsburg-Mainz-05-October-31-2015-Bundesliga,,234ad752
Regular season,11,Sat,2015-10-31,15:30,Hertha BSC,1–4,M'Gladbach,58566,Olympiastadion Berlin,Peter Sippel,/en/matches/d9ff1d40/Hertha-BSC-Monchengladbach-October-31-2015-Bundesliga,,d9ff1d40
Regular season,11,Sat,2015-10-31,15:30,Köln,0–0,Hoffenheim,48000,RheinEnergieSTADION,Günter Perl,/en/matches/e4287b69/Koln-Hoffenheim-October-31-2015-Bundesliga,,e4287b69
Regular season,11,Sat,2015-10-31,15:30,Schalke 04,1–1,Ingolstadt 04,60144,Veltins-Arena,Florian Meyer,/en/matches/8f9ee22f/Schalke-04-Ingolstadt-04-October-31-2015-Bundesliga,,8f9ee22f
Regular season,11,Sat,2015-10-31,15:30,Werder Bremen,1–3,Dortmund,42100,Weserstadion,Tobias Welz,/en/matches/4b91ccfb/Werder-Bremen-Dortmund-October-31-2015-Bundesliga,,4b91ccfb
Regular season,11,Sat,2015-10-31,18:30,Wolfsburg,2–1,Leverkusen,28766,Volkswagen Arena,Manuel Gräfe,/en/matches/456ad431/Wolfsburg-Bayer-Leverkusen-October-31-2015-Bundesliga,,456ad431
Regular season,11,Sun,2015-11-01,17:30,Hamburger SV,1–2,Hannover 96,54607,Volksparkstadion,Sascha Stegemann,/en/matches/db65773f/Hamburger-SV-Hannover-96-November-1-2015-Bundesliga,,db65773f
Regular season,11,Sun,2015-11-01,15:30,Stuttgart,2–0,Darmstadt 98,55200,Mercedes-Benz Arena,Robert Hartmann,/en/matches/15719310/Stuttgart-Darmstadt-98-November-1-2015-Bundesliga,,15719310
Regular season,12,Fri,2015-11-06,20:30,Hannover 96,1–3,Hertha BSC,40200,HDI-Arena,Christian Dingert,/en/matches/d50236b9/Hannover-96-Hertha-BSC-November-6-2015-Bundesliga,,d50236b9
Regular season,12,Sat,2015-11-07,15:30,Bayern Munich,4–0,Stuttgart,75000,Allianz Arena,Bastian Dankert,/en/matches/de973546/Bayern-Munich-Stuttgart-November-7-2015-Bundesliga,,de973546
Regular season,12,Sat,2015-11-07,18:30,Darmstadt 98,1–1,Hamburger SV,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Wolfgang Stark,/en/matches/11dc3a73/Darmstadt-98-Hamburger-SV-November-7-2015-Bundesliga,,11dc3a73
Regular season,12,Sat,2015-11-07,15:30,Hoffenheim,0–0,Eint Frankfurt,30150,PreZero Arena,Knut Kircher,/en/matches/475b16e0/Hoffenheim-Eintracht-Frankfurt-November-7-2015-Bundesliga,,475b16e0
Regular season,12,Sat,2015-11-07,15:30,Leverkusen,1–2,Köln,30210,BayArena,Felix Zwayer,/en/matches/802cf635/Bayer-Leverkusen-Koln-November-7-2015-Bundesliga,,802cf635
Regular season,12,Sat,2015-11-07,15:30,M'Gladbach,0–0,Ingolstadt 04,52331,Stadion im Borussia-Park,Marco Fritz,/en/matches/fc319ea2/Monchengladbach-Ingolstadt-04-November-7-2015-Bundesliga,,fc319ea2
Regular season,12,Sat,2015-11-07,15:30,Mainz 05,2–0,Wolfsburg,26331,Opel Arena,Daniel Siebert,/en/matches/2f06e3c7/Mainz-05-Wolfsburg-November-7-2015-Bundesliga,,2f06e3c7
Regular season,12,Sun,2015-11-08,17:30,Augsburg,1–2,Werder Bremen,28122,WWK Arena,Tobias Stieler,/en/matches/d05536d9/Augsburg-Werder-Bremen-November-8-2015-Bundesliga,,d05536d9
Regular season,12,Sun,2015-11-08,15:30,Dortmund,3–2,Schalke 04,79956,Signal Iduna Park,Felix Brych,/en/matches/5637c517/Revierderby-Dortmund-Schalke-04-November-8-2015-Bundesliga,,5637c517
Regular season,13,Fri,2015-11-20,20:30,Hamburger SV,3–1,Dortmund,57000,Volksparkstadion,Felix Zwayer,/en/matches/5c90d186/Hamburger-SV-Dortmund-November-20-2015-Bundesliga,,5c90d186
Regular season,13,Sat,2015-11-21,15:30,Eint Frankfurt,1–3,Leverkusen,47500,Commerzbank-Arena,Deniz Aytekin,/en/matches/cf3245d5/Eintracht-Frankfurt-Bayer-Leverkusen-November-21-2015-Bundesliga,,cf3245d5
Regular season,13,Sat,2015-11-21,15:30,Köln,0–0,Mainz 05,46700,RheinEnergieSTADION,Wolfgang Stark,/en/matches/aac61810/Koln-Mainz-05-November-21-2015-Bundesliga,,aac61810
Regular season,13,Sat,2015-11-21,15:30,M'Gladbach,2–1,Hannover 96,52214,Stadion im Borussia-Park,Felix Brych,/en/matches/194f2079/Monchengladbach-Hannover-96-November-21-2015-Bundesliga,,194f2079
Regular season,13,Sat,2015-11-21,18:30,Schalke 04,1–3,Bayern Munich,62271,Veltins-Arena,Tobias Stieler,/en/matches/72b472f1/Schalke-04-Bayern-Munich-November-21-2015-Bundesliga,,72b472f1
Regular season,13,Sat,2015-11-21,15:30,Stuttgart,0–4,Augsburg,54925,Mercedes-Benz Arena,Sascha Stegemann,/en/matches/ec77736b/Stuttgart-Augsburg-November-21-2015-Bundesliga,,ec77736b
Regular season,13,Sat,2015-11-21,15:30,Wolfsburg,6–0,Werder Bremen,30000,Volkswagen Arena,Peter Sippel,/en/matches/c720df99/Wolfsburg-Werder-Bremen-November-21-2015-Bundesliga,,c720df99
Regular season,13,Sun,2015-11-22,15:30,Hertha BSC,1–0,Hoffenheim,37045,Olympiastadion Berlin,Guido Winkmann,/en/matches/5481af48/Hertha-BSC-Hoffenheim-November-22-2015-Bundesliga,,5481af48
Regular season,13,Sun,2015-11-22,17:30,Ingolstadt 04,3–1,Darmstadt 98,14551,Audi-Sportpark,Knut Kircher,/en/matches/73566828/Ingolstadt-04-Darmstadt-98-November-22-2015-Bundesliga,,73566828
Regular season,14,Fri,2015-11-27,20:30,Darmstadt 98,0–0,Köln,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Deniz Aytekin,/en/matches/6fceec08/Darmstadt-98-Koln-November-27-2015-Bundesliga,,6fceec08
Regular season,14,Sat,2015-11-28,15:30,Bayern Munich,2–0,Hertha BSC,75000,Allianz Arena,Jochen Drees,/en/matches/6af7085b/Bayern-Munich-Hertha-BSC-November-28-2015-Bundesliga,,6af7085b
Regular season,14,Sat,2015-11-28,15:30,Hannover 96,4–0,Ingolstadt 04,35000,HDI-Arena,Tobias Stieler,/en/matches/b25760b3/Hannover-96-Ingolstadt-04-November-28-2015-Bundesliga,,b25760b3
Regular season,14,Sat,2015-11-28,15:30,Hoffenheim,3–3,M'Gladbach,30150,PreZero Arena,Michael Weiner,/en/matches/105d73e1/Hoffenheim-Monchengladbach-November-28-2015-Bundesliga,,105d73e1
Regular season,14,Sat,2015-11-28,15:30,Mainz 05,2–1,Eint Frankfurt,33098,Opel Arena,Bastian Dankert,/en/matches/711bd259/Mainz-05-Eintracht-Frankfurt-November-28-2015-Bundesliga,,711bd259
