week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,2013-08-09,,Bayern Munich,3–1,M'Gladbach,,,Tobias Welz,/en/matches/378439b6/Bayern-Munich-Monchengladbach-August-9-2013-Bundesliga,,378439b6
1,Sat,2013-08-10,,Augsburg,0–4,Dortmund,,,Knut Kircher,/en/matches/a41476d3/Augsburg-Dortmund-August-10-2013-Bundesliga,,a41476d3
1,Sat,2013-08-10,,Braunschweig,0–1,Werder Bremen,,,Deniz Aytekin,/en/matches/4a00c7a5/Eintracht-Braunschweig-Werder-Bremen-August-10-2013-Bundesliga,,4a00c7a5
1,Sat,2013-08-10,,Hannover 96,2–0,Wolfsburg,,,Felix Brych,/en/matches/8c3b438f/Hannover-96-Wolfsburg-August-10-2013-Bundesliga,,8c3b438f
1,Sat,2013-08-10,,Hertha BSC,6–1,Eint Frankfurt,,,Michael Weiner,/en/matches/4e72dcef/Hertha-BSC-Eintracht-Frankfurt-August-10-2013-Bundesliga,,4e72dcef
1,Sat,2013-08-10,,Hoffenheim,2–2,Nürnberg,,,Thorsten Kinhöfer,/en/matches/20c12346/Hoffenheim-Nurnberg-August-10-2013-Bundesliga,,20c12346
1,Sat,2013-08-10,,Leverkusen,3–1,Freiburg,,,Günter Perl,/en/matches/99e973db/Bayer-Leverkusen-Freiburg-August-10-2013-Bundesliga,,99e973db
1,Sun,2013-08-11,,Mainz 05,3–2,Stuttgart,,,Florian Meyer,/en/matches/d4a710dd/Mainz-05-Stuttgart-August-11-2013-Bundesliga,,d4a710dd
1,Sun,2013-08-11,,Schalke 04,3–3,Hamburger SV,,,Manuel Gräfe,/en/matches/f21206f8/Schalke-04-Hamburger-SV-August-11-2013-Bundesliga,,f21206f8
2,Sat,2013-08-17,,Eint Frankfurt,0–1,Bayern Munich,,,Peter Gagelmann,/en/matches/c557c182/Eintracht-Frankfurt-Bayern-Munich-August-17-2013-Bundesliga,,c557c182
2,Sat,2013-08-17,,Freiburg,1–2,Mainz 05,,,Robert Hartmann,/en/matches/bc7f31e3/Freiburg-Mainz-05-August-17-2013-Bundesliga,,bc7f31e3
2,Sat,2013-08-17,,Hamburger SV,1–5,Hoffenheim,,,Günter Perl,/en/matches/64063604/Hamburger-SV-Hoffenheim-August-17-2013-Bundesliga,,64063604
2,Sat,2013-08-17,,M'Gladbach,3–0,Hannover 96,,,Jochen Drees,/en/matches/d0daf853/Monchengladbach-Hannover-96-August-17-2013-Bundesliga,,d0daf853
