week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,2005-08-05,,Bayern Munich,3–0,M'Gladbach,,,Manuel Gräfe,/en/matches/d3516283/Bayern-Munich-Monchengladbach-August-5-2005-Bundesliga,,d3516283
1,Sat,2005-08-06,,Hamburger SV,3–0,Nürnberg,,,Markus Merk,/en/matches/54b3724d/Hamburger-SV-Nurnberg-August-6-2005-Bundesliga,,54b3724d
1,Sat,2005-08-06,,Hannover 96,2–2,Hertha BSC,,,Knut Kircher,/en/matches/7372d421/Hannover-96-Hertha-BSC-August-6-2005-Bundesliga,,7372d421
1,Sat,2005-08-06,,Köln,1–0,Mainz 05,,,Babak Rafati,/en/matches/ed4a9072/Koln-Mainz-05-August-6-2005-Bundesliga,,ed4a9072
1,Sat,2005-08-06,,MSV Duisburg,1–1,Stuttgart,,,Felix Brych,/en/matches/fd13e5d1/MSV-Duisburg-Stuttgart-August-6-2005-Bundesliga,,fd13e5d1
1,Sat,2005-08-06,,Werder Bremen,5–2,Arminia,,,Peter Sippel,/en/matches/b94d64bd/Werder-Bremen-Arminia-August-6-2005-Bundesliga,,b94d64bd
1,Sat,2005-08-06,,Wolfsburg,2–2,Dortmund,,,Wolfgang Stark,/en/matches/6abfd6af/Wolfsburg-Dortmund-August-6-2005-Bundesliga,,6abfd6af
1,Sun,2005-08-07,,Eint Frankfurt,1–4,Leverkusen,,,Florian Meyer,/en/matches/2774043b/Eintracht-Frankfurt-Bayer-Leverkusen-August-7-2005-Bundesliga,,2774043b
1,Sun,2005-08-07,,Schalke 04,2–1,Kaiserslautern,,,Franz-Xaver Wack,/en/matches/0af42f73/Schalke-04-Kaiserslautern-August-7-2005-Bundesliga,,0af42f73
2,Sat,2005-08-13,,Arminia,0–2,Hamburger SV,,,Helmut Fleischer,/en/matches/6af24cee/Arminia-Hamburger-SV-August-13-2005-Bundesliga,,6af24cee
2,Sat,2005-08-13,,Dortmund,1–2,Schalke 04,,,Herbert Fandel,/en/matches/bdb5c1c9/Revierderby-Dortmund-Schalke-04-August-13-2005-Bundesliga,,bdb5c1c9
2,Sat,2005-08-13,,Hertha BSC,2–0,Eint Frankfurt,,,Markus Schmidt,/en/matches/b0e363c3/Hertha-BSC-Eintracht-Frankfurt-August-13-2005-Bundesliga,,b0e363c3
2,Sat,2005-08-13,,Kaiserslautern,5–3,MSV Duisburg,,,Günter Perl,/en/matches/8b0bb4ab/Kaiserslautern-MSV-Duisburg-August-13-2005-Bundesliga,,8b0bb4ab
2,Sat,2005-08-13,,Leverkusen,2–5,Bayern Munich,,,Markus Merk,/en/matches/00582d7a/Bayer-Leverkusen-Bayern-Munich-August-13-2005-Bundesliga,,00582d7a
2,Sat,2005-08-13,,M'Gladbach,1–1,Wolfsburg,,,Lutz Wagner,/en/matches/b6e8a672/Monchengladbach-Wolfsburg-August-13-2005-Bundesliga,,b6e8a672
2,Sat,2005-08-13,,Nürnberg,1–1,Hannover 96,,,Peter Gagelmann,/en/matches/55792668/Nurnberg-Hannover-96-August-13-2005-Bundesliga,,55792668
