week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Wed,1990-08-08,,Dortmund,0–3,Stuttgart,,,Manfred Harder,/en/matches/c8fced5b/Dortmund-Stuttgart-August-8-1990-Bundesliga,,c8fced5b
1,Thu,1990-08-09,,Hertha BSC,1–2,St Pauli,,,Werner Föckler,/en/matches/613e107f/Hertha-BSC-St-Pauli-August-9-1990-Bundesliga,,613e107f
1,Fri,1990-08-10,,Nürnberg,1–1,Uerdingen,,,Anton Matheis,/en/matches/a5febf2c/Nurnberg-Uerdingen-August-10-1990-Bundesliga,,a5febf2c
1,Sat,1990-08-11,,Bayern Munich,1–1,Leverkusen,,,Hans-Peter Dellwing,/en/matches/46729a6c/Bayern-Munich-Bayer-Leverkusen-August-11-1990-Bundesliga,,46729a6c
1,Sat,1990-08-11,,Eint Frankfurt,3–0,Karlsruher,,,Hellmut Krug,/en/matches/f14fdad7/Eintracht-Frankfurt-Karlsruher-August-11-1990-Bundesliga,,f14fdad7
1,Sat,1990-08-11,,Hamburger SV,1–3,Kaiserslautern,,,Michael Prengel,/en/matches/19fb871a/Hamburger-SV-Kaiserslautern-August-11-1990-Bundesliga,,19fb871a
1,Sat,1990-08-11,,Köln,1–1,Düsseldorf,,,Markus Merk,/en/matches/268c6517/Koln-Dusseldorf-August-11-1990-Bundesliga,,268c6517
1,Sat,1990-08-11,,M'Gladbach,1–2,Bochum,,,Hans Scheuerer,/en/matches/2bf85907/Monchengladbach-Bochum-August-11-1990-Bundesliga,,2bf85907
1,Sat,1990-08-11,,Wattenscheid,2–0,Werder Bremen,,,Eugen Strigel,/en/matches/e98a0571/Wattenscheid-Werder-Bremen-August-11-1990-Bundesliga,,e98a0571
2,Tue,1990-08-14,,St Pauli,0–0,Bayern Munich,,,Edgar Steinborn,/en/matches/9b4f667e/St-Pauli-Bayern-Munich-August-14-1990-Bundesliga,,9b4f667e
2,Fri,1990-08-17,,Stuttgart,4–0,Hertha BSC,,,Alfons Berg,/en/matches/e5fa1283/Stuttgart-Hertha-BSC-August-17-1990-Bundesliga,,e5fa1283
2,Fri,1990-08-17,,Werder Bremen,3–0,M'Gladbach,,,Hermann Albrecht,/en/matches/9750c662/Werder-Bremen-Monchengladbach-August-17-1990-Bundesliga,,9750c662
2,Sat,1990-08-18,,Bochum,1–0,Köln,,,Hans-Jürgen Weber,/en/matches/a97fbd5d/Bochum-Koln-August-18-1990-Bundesliga,,a97fbd5d
