week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,1994-08-19,,Leverkusen,0–1,Kaiserslautern,,,Manfred Schmidt,/en/matches/4e65cf43/Bayer-Leverkusen-Kaiserslautern-August-19-1994-Bundesliga,,4e65cf43
1,Fri,1994-08-19,,Schalke 04,1–1,M'Gladbach,,,Wieland Ziller,/en/matches/3ad43c58/Schalke-04-Monchengladbach-August-19-1994-Bundesliga,,3ad43c58
1,Fri,1994-08-19,,Stuttgart,2–1,Hamburger SV,,,Alfons Berg,/en/matches/ef9ee0d6/Stuttgart-Hamburger-SV-August-19-1994-Bundesliga,,ef9ee0d6
1,Sat,1994-08-20,,Bayern Munich,3–1,Bochum,,,Edgar Steinborn,/en/matches/e1d6760a/Bayern-Munich-Bochum-August-20-1994-Bundesliga,,e1d6760a
1,Sat,1994-08-20,,Dortmund,4–0,1860 Munich,,,Hartmut Strampe,/en/matches/d0c5cf51/Dortmund-1860-Munich-August-20-1994-Bundesliga,,d0c5cf51
1,Sat,1994-08-20,,Dresden,1–1,Werder Bremen,,,Jürgen Aust,/en/matches/721a4a54/Dresden-Werder-Bremen-August-20-1994-Bundesliga,,721a4a54
1,Sat,1994-08-20,,Eint Frankfurt,0–0,Köln,,,Markus Merk,/en/matches/46e09585/Eintracht-Frankfurt-Koln-August-20-1994-Bundesliga,,46e09585
1,Sat,1994-08-20,,Karlsruher,2–0,Freiburg,,,Hermann Albrecht,/en/matches/c262eafb/Karlsruher-Freiburg-August-20-1994-Bundesliga,,c262eafb
1,Sat,1994-08-20,,Uerdingen,1–1,MSV Duisburg,,,Wolf-Günter Wiesel,/en/matches/342fe0e1/Uerdingen-MSV-Duisburg-August-20-1994-Bundesliga,,342fe0e1
2,Tue,1994-08-23,,1860 Munich,0–2,Stuttgart,,,Jürgen Jansen,/en/matches/2611ccad/1860-Munich-Stuttgart-August-23-1994-Bundesliga,,2611ccad
2,Tue,1994-08-23,,Bochum,2–0,Dresden,,,Lutz Wagner,/en/matches/9036128f/Bochum-Dresden-August-23-1994-Bundesliga,,9036128f
2,Tue,1994-08-23,,Freiburg,5–1,Bayern Munich,,,Hans-Jürgen Weber,/en/matches/cbc56aa8/Freiburg-Bayern-Munich-August-23-1994-Bundesliga,,cbc56aa8
2,Tue,1994-08-23,,Kaiserslautern,1–1,Eint Frankfurt,,,Hans-Joachim Osmers,/en/matches/e6f75949/Kaiserslautern-Eintracht-Frankfurt-August-23-1994-Bundesliga,,e6f75949
2,Tue,1994-08-23,,Köln,1–6,Dortmund,,,Hans-Jürgen Kasper,/en/matches/8df61303/Koln-Dortmund-August-23-1994-Bundesliga,,8df61303
2,Wed,1994-08-24,,Hamburger SV,0–0,Uerdingen,,,Lutz Michael Fröhlich,/en/matches/6af67059/Hamburger-SV-Uerdingen-August-24-1994-Bundesliga,,6af67059
2,Wed,1994-08-24,,M'Gladbach,2–2,Karlsruher,,,Bernd Heynemann,/en/matches/cb19f63c/Monchengladbach-Karlsruher-August-24-1994-Bundesliga,,cb19f63c
2,Wed,1994-08-24,,MSV Duisburg,2–2,Schalke 04,,,Hans Scheuerer,/en/matches/0ad4e111/MSV-Duisburg-Schalke-04-August-24-1994-Bundesliga,,0ad4e111
2,Wed,1994-08-24,,Werder Bremen,3–2,Leverkusen,,,Hans-Peter Best,/en/matches/11f75f8a/Werder-Bremen-Bayer-Leverkusen-August-24-1994-Bundesliga,,11f75f8a
3,Fri,1994-08-26,,Dortmund,2–1,Kaiserslautern,,,Günther Habermann,/en/matches/c8853681/Dortmund-Kaiserslautern-August-26-1994-Bundesliga,,c8853681
3,Fri,1994-08-26,,Dresden,1–3,Freiburg,,,Heinz-Dieter Casper,/en/matches/c90293ec/Dresden-Freiburg-August-26-1994-Bundesliga,,c90293ec
3,Sat,1994-08-27,,Bayern Munich,3–0,M'Gladbach,,,Hartmut Strampe,/en/matches/171288b9/Bayern-Munich-Monchengladbach-August-27-1994-Bundesliga,,171288b9
3,Sat,1994-08-27,,Karlsruher,4–1,MSV Duisburg,,,Wieland Ziller,/en/matches/122cb7c6/Karlsruher-MSV-Duisburg-August-27-1994-Bundesliga,,122cb7c6
3,Sat,1994-08-27,,Schalke 04,0–1,Hamburger SV,,,Eugen Strigel,/en/matches/01ddb9e9/Schalke-04-Hamburger-SV-August-27-1994-Bundesliga,,01ddb9e9
3,Sat,1994-08-27,,Stuttgart,2–2,Köln,,,Michael Malbranc,/en/matches/ac28f5b7/Stuttgart-Koln-August-27-1994-Bundesliga,,ac28f5b7
3,Sat,1994-08-27,,Uerdingen,1–1,1860 Munich,,,Volkmar Fischer,/en/matches/75527528/Uerdingen-1860-Munich-August-27-1994-Bundesliga,,75527528
3,Sat,1994-08-27,,Werder Bremen,3–0,Bochum,,,Winfried Buchhart,/en/matches/95bbeb70/Werder-Bremen-Bochum-August-27-1994-Bundesliga,,95bbeb70
3,Sun,1994-08-28,,Leverkusen,4–0,Eint Frankfurt,,,Lutz Michael Fröhlich,/en/matches/89b5bd08/Bayer-Leverkusen-Eintracht-Frankfurt-August-28-1994-Bundesliga,,89b5bd08
4,Fri,1994-09-02,,Freiburg,1–3,Werder Bremen,,,Georg Dardenne,/en/matches/38a7b38b/Freiburg-Werder-Bremen-September-2-1994-Bundesliga,,38a7b38b
4,Fri,1994-09-02,,M'Gladbach,2–0,Dresden,,,Lutz Pohlmann,/en/matches/bc6b3698/Monchengladbach-Dresden-September-2-1994-Bundesliga,,bc6b3698
4,Fri,1994-09-02,,MSV Duisburg,0–3,Bayern Munich,,,Hans-Jürgen Kasper,/en/matches/6e9dc948/MSV-Duisburg-Bayern-Munich-September-2-1994-Bundesliga,,6e9dc948
4,Sat,1994-09-03,,1860 Munich,0–1,Schalke 04,,,Frank Fleske,/en/matches/2665d094/1860-Munich-Schalke-04-September-3-1994-Bundesliga,,2665d094
4,Sat,1994-09-03,,Bochum,1–3,Leverkusen,,,Wolf-Günter Wiesel,/en/matches/9ca0d2e6/Bochum-Bayer-Leverkusen-September-3-1994-Bundesliga,,9ca0d2e6
4,Sat,1994-09-03,,Eint Frankfurt,4–1,Dortmund,,,Edgar Steinborn,/en/matches/3922f6f2/Eintracht-Frankfurt-Dortmund-September-3-1994-Bundesliga,,3922f6f2
4,Sat,1994-09-03,,Hamburger SV,3–1,Karlsruher,,,Rainer Werthmann,/en/matches/ef869ad3/Hamburger-SV-Karlsruher-September-3-1994-Bundesliga,,ef869ad3
4,Sat,1994-09-03,,Kaiserslautern,3–2,Stuttgart,,,Jürgen Aust,/en/matches/3b2da696/Kaiserslautern-Stuttgart-September-3-1994-Bundesliga,,3b2da696
4,Sat,1994-09-03,,Köln,2–0,Uerdingen,,,Frank Kiefer,/en/matches/36616b9f/Koln-Uerdingen-September-3-1994-Bundesliga,,36616b9f
5,Fri,1994-09-16,,Bochum,1–3,Freiburg,,,Alfons Berg,/en/matches/a991bda6/Bochum-Freiburg-September-16-1994-Bundesliga,,a991bda6
5,Fri,1994-09-16,,Karlsruher,3–1,1860 Munich,,,Michael Malbranc,/en/matches/f7ec4a39/Karlsruher-1860-Munich-September-16-1994-Bundesliga,,f7ec4a39
5,Sat,1994-09-17,,Bayern Munich,1–1,Hamburger SV,,,Günther Habermann,/en/matches/f49dd260/Bayern-Munich-Hamburger-SV-September-17-1994-Bundesliga,,f49dd260
5,Sat,1994-09-17,,Dresden,4–2,MSV Duisburg,,,Hans-Peter Best,/en/matches/84e97c1b/Dresden-MSV-Duisburg-September-17-1994-Bundesliga,,84e97c1b
5,Sat,1994-09-17,,Leverkusen,2–2,Dortmund,,,Jürgen Jansen,/en/matches/995a2f10/Bayer-Leverkusen-Dortmund-September-17-1994-Bundesliga,,995a2f10
5,Sat,1994-09-17,,Schalke 04,3–1,Köln,,,Manfred Schmidt,/en/matches/03ffc74e/Schalke-04-Koln-September-17-1994-Bundesliga,,03ffc74e
5,Sat,1994-09-17,,Uerdingen,1–3,Kaiserslautern,,,Lutz Wagner,/en/matches/9b266cf3/Uerdingen-Kaiserslautern-September-17-1994-Bundesliga,,9b266cf3
5,Sat,1994-09-17,,Werder Bremen,1–0,M'Gladbach,,,Markus Merk,/en/matches/0bd5ca96/Werder-Bremen-Monchengladbach-September-17-1994-Bundesliga,,0bd5ca96
5,Sun,1994-09-18,,Stuttgart,4–1,Eint Frankfurt,,,Bernd Heynemann,/en/matches/44dd3ad6/Stuttgart-Eintracht-Frankfurt-September-18-1994-Bundesliga,,44dd3ad6
6,Wed,1994-09-21,,1860 Munich,1–3,Bayern Munich,,,Hellmut Krug,/en/matches/55da91f4/1860-Munich-Bayern-Munich-September-21-1994-Bundesliga,,55da91f4
6,Fri,1994-09-23,,Eint Frankfurt,0–3,Uerdingen,,,Eugen Strigel,/en/matches/c45aacc4/Eintracht-Frankfurt-Uerdingen-September-23-1994-Bundesliga,,c45aacc4
6,Fri,1994-09-23,,MSV Duisburg,0–2,Werder Bremen,,,Manfred Schmidt,/en/matches/f96535da/MSV-Duisburg-Werder-Bremen-September-23-1994-Bundesliga,,f96535da
6,Sat,1994-09-24,,Dortmund,5–0,Stuttgart,,,Wieland Ziller,/en/matches/3689d06a/Dortmund-Stuttgart-September-24-1994-Bundesliga,,3689d06a
6,Sat,1994-09-24,,Freiburg,1–1,Leverkusen,,,Bernd Heynemann,/en/matches/3dc00e07/Freiburg-Bayer-Leverkusen-September-24-1994-Bundesliga,,3dc00e07
6,Sat,1994-09-24,,Hamburger SV,2–1,Dresden,,,Georg Dardenne,/en/matches/fb8b5c1c/Hamburger-SV-Dresden-September-24-1994-Bundesliga,,fb8b5c1c
6,Sat,1994-09-24,,Kaiserslautern,3–1,Schalke 04,,,Lutz Michael Fröhlich,/en/matches/a107908c/Kaiserslautern-Schalke-04-September-24-1994-Bundesliga,,a107908c
6,Sat,1994-09-24,,Köln,3–4,Karlsruher,,,Hans-Joachim Osmers,/en/matches/3472f68b/Koln-Karlsruher-September-24-1994-Bundesliga,,3472f68b
6,Sat,1994-09-24,,M'Gladbach,7–1,Bochum,,,Hermann Albrecht,/en/matches/830d0282/Monchengladbach-Bochum-September-24-1994-Bundesliga,,830d0282
7,Fri,1994-09-30,,Bochum,1–0,MSV Duisburg,,,Bernhard Zerr,/en/matches/37efaf91/Bochum-MSV-Duisburg-September-30-1994-Bundesliga,,37efaf91
7,Fri,1994-09-30,,Dresden,1–1,1860 Munich,,,Hans-Joachim Osmers,/en/matches/280b3aeb/Dresden-1860-Munich-September-30-1994-Bundesliga,,280b3aeb
7,Sat,1994-10-01,,Bayern Munich,2–2,Köln,,,Wolf-Günter Wiesel,/en/matches/7e7f48d4/Bayern-Munich-Koln-October-1-1994-Bundesliga,,7e7f48d4
7,Sat,1994-10-01,,Karlsruher,3–3,Kaiserslautern,,,Hans-Jürgen Weber,/en/matches/1826f706/Karlsruher-Kaiserslautern-October-1-1994-Bundesliga,,1826f706
7,Sat,1994-10-01,,Leverkusen,3–1,Stuttgart,,,Alfons Berg,/en/matches/44621886/Bayer-Leverkusen-Stuttgart-October-1-1994-Bundesliga,,44621886
7,Sat,1994-10-01,,Schalke 04,0–0,Eint Frankfurt,,,Michael Malbranc,/en/matches/bfbeb046/Schalke-04-Eintracht-Frankfurt-October-1-1994-Bundesliga,,bfbeb046
7,Sat,1994-10-01,,Uerdingen,0–2,Dortmund,,,Winfried Buchhart,/en/matches/57324e50/Uerdingen-Dortmund-October-1-1994-Bundesliga,,57324e50
7,Sun,1994-10-02,,Freiburg,1–1,M'Gladbach,,,Edgar Steinborn,/en/matches/14b38d7d/Freiburg-Monchengladbach-October-2-1994-Bundesliga,,14b38d7d
8,Wed,1994-10-05,,Kaiserslautern,1–1,Bayern Munich,,,Bernd Heynemann,/en/matches/a3bdab59/Kaiserslautern-Bayern-Munich-October-5-1994-Bundesliga,,a3bdab59
7,Thu,1994-10-06,,Werder Bremen,1–4,Hamburger SV,,,Jürgen Jansen,/en/matches/e62a43eb/Werder-Bremen-Hamburger-SV-October-6-1994-Bundesliga,,e62a43eb
8,Fri,1994-10-07,,Eint Frankfurt,1–0,Karlsruher,,,Jürgen Aust,/en/matches/a86cf6bc/Eintracht-Frankfurt-Karlsruher-October-7-1994-Bundesliga,,a86cf6bc
8,Fri,1994-10-07,,M'Gladbach,3–3,Leverkusen,,,Bernhard Zerr,/en/matches/212c9cd6/Monchengladbach-Bayer-Leverkusen-October-7-1994-Bundesliga,,212c9cd6
8,Sat,1994-10-08,,Dortmund,3–2,Schalke 04,,,Georg Dardenne,/en/matches/3f19d84b/Revierderby-Dortmund-Schalke-04-October-8-1994-Bundesliga,,3f19d84b
8,Sat,1994-10-08,,Köln,1–2,Dresden,,,Eugen Strigel,/en/matches/7e45f966/Koln-Dresden-October-8-1994-Bundesliga,,7e45f966
8,Sat,1994-10-08,,MSV Duisburg,1–2,Freiburg,,,Hartmut Strampe,/en/matches/0bfb38b9/MSV-Duisburg-Freiburg-October-8-1994-Bundesliga,,0bfb38b9
8,Sat,1994-10-08,,Stuttgart,3–1,Uerdingen,,,Frank Fleske,/en/matches/c2e65c0c/Stuttgart-Uerdingen-October-8-1994-Bundesliga,,c2e65c0c
8,Sun,1994-10-09,,1860 Munich,1–2,Werder Bremen,,,Alfons Berg,/en/matches/4b6339f9/1860-Munich-Werder-Bremen-October-9-1994-Bundesliga,,4b6339f9
8,Sun,1994-10-09,,Hamburger SV,3–1,Bochum,,,Lutz Michael Fröhlich,/en/matches/d99127a3/Hamburger-SV-Bochum-October-9-1994-Bundesliga,,d99127a3
9,Fri,1994-10-14,,Bochum,2–2,1860 Munich,,,Hartmut Strampe,/en/matches/4df6403f/Bochum-1860-Munich-October-14-1994-Bundesliga,,4df6403f
9,Fri,1994-10-14,,Freiburg,3–0,Hamburger SV,,,Hellmut Krug,/en/matches/10cacc56/Freiburg-Hamburger-SV-October-14-1994-Bundesliga,,10cacc56
9,Sat,1994-10-15,,Bayern Munich,3–3,Eint Frankfurt,,,Hans-Jürgen Weber,/en/matches/48be8d38/Bayern-Munich-Eintracht-Frankfurt-October-15-1994-Bundesliga,,48be8d38
9,Sat,1994-10-15,,Dresden,1–0,Kaiserslautern,,,Hans Scheuerer,/en/matches/533690af/Dresden-Kaiserslautern-October-15-1994-Bundesliga,,533690af
9,Sat,1994-10-15,,Karlsruher,0–0,Dortmund,,,Volkmar Fischer,/en/matches/85631782/Karlsruher-Dortmund-October-15-1994-Bundesliga,,85631782
9,Sat,1994-10-15,,Leverkusen,1–1,Uerdingen,,,Markus Merk,/en/matches/047ea760/Bayer-Leverkusen-Uerdingen-October-15-1994-Bundesliga,,047ea760
9,Sat,1994-10-15,,M'Gladbach,1–0,MSV Duisburg,,,Rainer Werthmann,/en/matches/c0bdd6c8/Monchengladbach-MSV-Duisburg-October-15-1994-Bundesliga,,c0bdd6c8
9,Sat,1994-10-15,,Schalke 04,1–1,Stuttgart,,,Günther Habermann,/en/matches/ff07a33d/Schalke-04-Stuttgart-October-15-1994-Bundesliga,,ff07a33d
9,Sat,1994-10-15,,Werder Bremen,2–2,Köln,,,Hermann Albrecht,/en/matches/9505e6e0/Werder-Bremen-Koln-October-15-1994-Bundesliga,,9505e6e0
10,Fri,1994-10-21,,Hamburger SV,1–2,M'Gladbach,,,Winfried Buchhart,/en/matches/69c79957/Hamburger-SV-Monchengladbach-October-21-1994-Bundesliga,,69c79957
10,Fri,1994-10-21,,Köln,2–1,Bochum,,,Michael Malbranc,/en/matches/9f24e2f5/Koln-Bochum-October-21-1994-Bundesliga,,9f24e2f5
