week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,2009-08-07,,Wolfsburg,2–0,Stuttgart,,,Felix Brych,/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga,,630b172c
1,Sat,2009-08-08,,Dortmund,1–0,Köln,,,Wolfgang Stark,/en/matches/1ed266f5/Dortmund-Koln-August-8-2009-Bundesliga,,1ed266f5
1,Sat,2009-08-08,,Hertha BSC,1–0,Hannover 96,,,Guido Winkmann,/en/matches/3fdae7e9/Hertha-BSC-Hannover-96-August-8-2009-Bundesliga,,3fdae7e9
1,Sat,2009-08-08,,Hoffenheim,1–1,Bayern Munich,,,Babak Rafati,/en/matches/ecf64e15/Hoffenheim-Bayern-Munich-August-8-2009-Bundesliga,,ecf64e15
1,Sat,2009-08-08,,Mainz 05,2–2,Leverkusen,,,Deniz Aytekin,/en/matches/78472e7e/Mainz-05-Bayer-Leverkusen-August-8-2009-Bundesliga,,78472e7e
1,Sat,2009-08-08,,Nürnberg,1–2,Schalke 04,,,Knut Kircher,/en/matches/8e55ef1b/Nurnberg-Schalke-04-August-8-2009-Bundesliga,,8e55ef1b
1,Sat,2009-08-08,,Werder Bremen,2–3,Eint Frankfurt,,,Helmut Fleischer,/en/matches/5880a490/Werder-Bremen-Eintracht-Frankfurt-August-8-2009-Bundesliga,,5880a490
1,Sun,2009-08-09,,Bochum,3–3,M'Gladbach,,,Michael Kempter,/en/matches/411ce466/Bochum-Monchengladbach-August-9-2009-Bundesliga,,411ce466
1,Sun,2009-08-09,,Freiburg,1–1,Hamburger SV,,,Peter Sippel,/en/matches/db1a25e7/Freiburg-Hamburger-SV-August-9-2009-Bundesliga,,db1a25e7
2,Sat,2009-08-15,,Bayern Munich,1–1,Werder Bremen,,,Manuel Gräfe,/en/matches/56b0593d/Bayern-Munich-Werder-Bremen-August-15-2009-Bundesliga,,56b0593d
2,Sat,2009-08-15,,Eint Frankfurt,1–1,Nürnberg,,,Michael Weiner,/en/matches/dea870a1/Eintracht-Frankfurt-Nurnberg-August-15-2009-Bundesliga,,dea870a1
2,Sat,2009-08-15,,Hamburger SV,4–1,Dortmund,,,Michael Kempter,/en/matches/e7ee3aa9/Hamburger-SV-Dortmund-August-15-2009-Bundesliga,,e7ee3aa9
2,Sat,2009-08-15,,Hannover 96,1–1,Mainz 05,,,Felix Zwayer,/en/matches/b417e103/Hannover-96-Mainz-05-August-15-2009-Bundesliga,,b417e103
2,Sat,2009-08-15,,Köln,1–3,Wolfsburg,,,Thorsten Kinhöfer,/en/matches/f9021462/Koln-Wolfsburg-August-15-2009-Bundesliga,,f9021462
2,Sat,2009-08-15,,Leverkusen,1–0,Hoffenheim,,,Peter Gagelmann,/en/matches/10cd1bf0/Bayer-Leverkusen-Hoffenheim-August-15-2009-Bundesliga,,10cd1bf0
2,Sat,2009-08-15,,Stuttgart,4–2,Freiburg,,,Lutz Wagner,/en/matches/e8563d43/Stuttgart-Freiburg-August-15-2009-Bundesliga,,e8563d43
2,Sun,2009-08-16,,M'Gladbach,2–1,Hertha BSC,,,Markus Schmidt,/en/matches/c7f5c06f/Monchengladbach-Hertha-BSC-August-16-2009-Bundesliga,,c7f5c06f
2,Sun,2009-08-16,,Schalke 04,3–0,Bochum,,,Günter Perl,/en/matches/5154c738/Schalke-04-Bochum-August-16-2009-Bundesliga,,5154c738
3,Fri,2009-08-21,,Hoffenheim,0–0,Schalke 04,,,Michael Weiner,/en/matches/9b879ff5/Hoffenheim-Schalke-04-August-21-2009-Bundesliga,,9b879ff5
3,Sat,2009-08-22,,Dortmund,1–1,Stuttgart,,,Helmut Fleischer,/en/matches/a05c401f/Dortmund-Stuttgart-August-22-2009-Bundesliga,,a05c401f
3,Sat,2009-08-22,,Freiburg,0–5,Leverkusen,,,Marco Fritz,/en/matches/d8a4c721/Freiburg-Bayer-Leverkusen-August-22-2009-Bundesliga,,d8a4c721
3,Sat,2009-08-22,,Köln,0–0,Eint Frankfurt,,,Manuel Gräfe,/en/matches/b8530aa3/Koln-Eintracht-Frankfurt-August-22-2009-Bundesliga,,b8530aa3
3,Sat,2009-08-22,,Mainz 05,2–1,Bayern Munich,,,Thorsten Kinhöfer,/en/matches/abb7117e/Mainz-05-Bayern-Munich-August-22-2009-Bundesliga,,abb7117e
