week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,1995-08-11,,Dortmund,1–1,Kaiserslautern,,,Bernhard Zerr,/en/matches/4e94d2ba/Dortmund-Kaiserslautern-August-11-1995-Bundesliga,,4e94d2ba
1,Fri,1995-08-11,,Stuttgart,0–0,Uerdingen,,,Frank Fleske,/en/matches/e0b546ee/Stuttgart-Uerdingen-August-11-1995-Bundesliga,,e0b546ee
1,Fri,1995-08-11,,Werder Bremen,1–1,Düsseldorf,,,Lutz Wagner,/en/matches/e286f8ec/Werder-Bremen-Dusseldorf-August-11-1995-Bundesliga,,e286f8ec
1,Sat,1995-08-12,,Bayern Munich,3–2,Hamburger SV,,,Georg Dardenne,/en/matches/58c81fbe/Bayern-Munich-Hamburger-SV-August-12-1995-Bundesliga,,58c81fbe
1,Sat,1995-08-12,,Eint Frankfurt,2–2,Karlsruher,,,Jürgen Jansen,/en/matches/76cfd56c/Eintracht-Frankfurt-Karlsruher-August-12-1995-Bundesliga,,76cfd56c
1,Sat,1995-08-12,,Hansa Rostock,1–2,Leverkusen,,,Michael Malbranc,/en/matches/36e6ec9b/Hansa-Rostock-Bayer-Leverkusen-August-12-1995-Bundesliga,,36e6ec9b
1,Sat,1995-08-12,,Köln,0–1,Schalke 04,,,Hans Scheuerer,/en/matches/7072a93e/Koln-Schalke-04-August-12-1995-Bundesliga,,7072a93e
1,Sat,1995-08-12,,St Pauli,4–2,1860 Munich,,,Bernd Heynemann,/en/matches/6683d182/St-Pauli-1860-Munich-August-12-1995-Bundesliga,,6683d182
1,Sun,1995-08-13,,M'Gladbach,1–0,Freiburg,,,Hans-Jürgen Kasper,/en/matches/8d98540f/Monchengladbach-Freiburg-August-13-1995-Bundesliga,,8d98540f
2,Fri,1995-08-18,,Freiburg,0–2,St Pauli,,,Hans-Jürgen Weber,/en/matches/707d93d9/Freiburg-St-Pauli-August-18-1995-Bundesliga,,707d93d9
2,Fri,1995-08-18,,Hamburger SV,3–3,Werder Bremen,,,Hellmut Krug,/en/matches/089eed20/Hamburger-SV-Werder-Bremen-August-18-1995-Bundesliga,,089eed20
2,Fri,1995-08-18,,Schalke 04,1–3,Hansa Rostock,,,Markus Merk,/en/matches/26712f3f/Schalke-04-Hansa-Rostock-August-18-1995-Bundesliga,,26712f3f
2,Sat,1995-08-19,,1860 Munich,1–1,Stuttgart,,,Jürgen Aust,/en/matches/1ee277c5/1860-Munich-Stuttgart-August-19-1995-Bundesliga,,1ee277c5
2,Sat,1995-08-19,,Kaiserslautern,1–3,M'Gladbach,,,Hermann Albrecht,/en/matches/4793455c/Kaiserslautern-Monchengladbach-August-19-1995-Bundesliga,,4793455c
2,Sat,1995-08-19,,Karlsruher,2–6,Bayern Munich,,,Bernd Heynemann,/en/matches/408d1f83/Karlsruher-Bayern-Munich-August-19-1995-Bundesliga,,408d1f83
2,Sat,1995-08-19,,Leverkusen,1–1,Dortmund,,,Lutz Michael Fröhlich,/en/matches/cacf8e7e/Bayer-Leverkusen-Dortmund-August-19-1995-Bundesliga,,cacf8e7e
2,Sat,1995-08-19,,Uerdingen,1–1,Eint Frankfurt,,,Alfons Berg,/en/matches/f5e4fdb1/Uerdingen-Eintracht-Frankfurt-August-19-1995-Bundesliga,,f5e4fdb1
2,Sun,1995-08-20,,Düsseldorf,1–1,Köln,,,Edgar Steinborn,/en/matches/28b9cf4e/Dusseldorf-Koln-August-20-1995-Bundesliga,,28b9cf4e
3,Tue,1995-08-29,,Hansa Rostock,3–2,Dortmund,,,Lutz Wagner,/en/matches/7cbd2b6f/Hansa-Rostock-Dortmund-August-29-1995-Bundesliga,,7cbd2b6f
3,Tue,1995-08-29,,Köln,3–2,Hamburger SV,,,Winfried Buchhart,/en/matches/90c43dbb/Koln-Hamburger-SV-August-29-1995-Bundesliga,,90c43dbb
3,Tue,1995-08-29,,M'Gladbach,0–0,Leverkusen,,,Edgar Steinborn,/en/matches/3b2250cd/Monchengladbach-Bayer-Leverkusen-August-29-1995-Bundesliga,,3b2250cd
3,Tue,1995-08-29,,St Pauli,1–2,Kaiserslautern,,,Lutz Michael Fröhlich,/en/matches/178e5b49/St-Pauli-Kaiserslautern-August-29-1995-Bundesliga,,178e5b49
3,Tue,1995-08-29,,Werder Bremen,1–0,Karlsruher,,,Rainer Werthmann,/en/matches/9f71fe98/Werder-Bremen-Karlsruher-August-29-1995-Bundesliga,,9f71fe98
3,Wed,1995-08-30,,Bayern Munich,2–0,Uerdingen,,,Lutz Pohlmann,/en/matches/ac6fa021/Bayern-Munich-Uerdingen-August-30-1995-Bundesliga,,ac6fa021
3,Wed,1995-08-30,,Eint Frankfurt,4–2,1860 Munich,,,Heinz-Dieter Casper,/en/matches/22d5c1df/Eintracht-Frankfurt-1860-Munich-August-30-1995-Bundesliga,,22d5c1df
3,Wed,1995-08-30,,Schalke 04,1–1,Düsseldorf,,,Hans-Peter Best,/en/matches/5e181fce/Schalke-04-Dusseldorf-August-30-1995-Bundesliga,,5e181fce
3,Wed,1995-08-30,,Stuttgart,3–1,Freiburg,,,Georg Dardenne,/en/matches/57749282/Stuttgart-Freiburg-August-30-1995-Bundesliga,,57749282
4,Fri,1995-09-01,,Dortmund,2–1,M'Gladbach,,,Hans Scheuerer,/en/matches/53413123/Dortmund-Monchengladbach-September-1-1995-Bundesliga,,53413123
4,Fri,1995-09-01,,Karlsruher,1–0,Köln,,,Alfons Berg,/en/matches/04c2c980/Karlsruher-Koln-September-1-1995-Bundesliga,,04c2c980
4,Sat,1995-09-02,,1860 Munich,0–2,Bayern Munich,,,Hans-Jürgen Weber,/en/matches/b22709b8/1860-Munich-Bayern-Munich-September-2-1995-Bundesliga,,b22709b8
4,Sat,1995-09-02,,Düsseldorf,2–2,Hansa Rostock,,,Hans-Jürgen Kasper,/en/matches/a5643014/Dusseldorf-Hansa-Rostock-September-2-1995-Bundesliga,,a5643014
4,Sat,1995-09-02,,Freiburg,2–0,Eint Frankfurt,,,Jürgen Aust,/en/matches/c5b534e0/Freiburg-Eintracht-Frankfurt-September-2-1995-Bundesliga,,c5b534e0
4,Sat,1995-09-02,,Hamburger SV,1–1,Schalke 04,,,Günther Habermann,/en/matches/2d7211e6/Hamburger-SV-Schalke-04-September-2-1995-Bundesliga,,2d7211e6
4,Sat,1995-09-02,,Kaiserslautern,1–1,Stuttgart,,,Jürgen Jansen,/en/matches/ac104dac/Kaiserslautern-Stuttgart-September-2-1995-Bundesliga,,ac104dac
4,Sat,1995-09-02,,Leverkusen,1–1,St Pauli,,,Hermann Albrecht,/en/matches/cd7f5ad3/Bayer-Leverkusen-St-Pauli-September-2-1995-Bundesliga,,cd7f5ad3
4,Sat,1995-09-02,,Uerdingen,3–0,Werder Bremen,,,Markus Merk,/en/matches/540372a5/Uerdingen-Werder-Bremen-September-2-1995-Bundesliga,,540372a5
5,Fri,1995-09-08,,Köln,0–0,Uerdingen,,,Burkard Hufgard,/en/matches/ce1f9905/Koln-Uerdingen-September-8-1995-Bundesliga,,ce1f9905
5,Fri,1995-09-08,,Werder Bremen,2–0,1860 Munich,,,Georg Dardenne,/en/matches/1f896df8/Werder-Bremen-1860-Munich-September-8-1995-Bundesliga,,1f896df8
5,Sat,1995-09-09,,Bayern Munich,2–0,Freiburg,,,Michael Malbranc,/en/matches/3871b0a6/Bayern-Munich-Freiburg-September-9-1995-Bundesliga,,3871b0a6
5,Sat,1995-09-09,,Düsseldorf,2–2,Hamburger SV,,,Lutz Michael Fröhlich,/en/matches/05cef17e/Dusseldorf-Hamburger-SV-September-9-1995-Bundesliga,,05cef17e
5,Sat,1995-09-09,,Eint Frankfurt,3–1,Kaiserslautern,,,Hellmut Krug,/en/matches/81c5f987/Eintracht-Frankfurt-Kaiserslautern-September-9-1995-Bundesliga,,81c5f987
5,Sat,1995-09-09,,Hansa Rostock,2–3,M'Gladbach,,,Hartmut Strampe,/en/matches/2a34e9d1/Hansa-Rostock-Monchengladbach-September-9-1995-Bundesliga,,2a34e9d1
5,Sat,1995-09-09,,Schalke 04,2–1,Karlsruher,,,Frank Fleske,/en/matches/aa1d7afe/Schalke-04-Karlsruher-September-9-1995-Bundesliga,,aa1d7afe
5,Sat,1995-09-09,,St Pauli,0–3,Dortmund,,,Hans-Peter Best,/en/matches/519b3e49/St-Pauli-Dortmund-September-9-1995-Bundesliga,,519b3e49
5,Sat,1995-09-09,,Stuttgart,1–4,Leverkusen,,,Bernd Heynemann,/en/matches/c448bf01/Stuttgart-Bayer-Leverkusen-September-9-1995-Bundesliga,,c448bf01
6,Fri,1995-09-15,,Kaiserslautern,2–3,Bayern Munich,,,Hartmut Strampe,/en/matches/974862ef/Kaiserslautern-Bayern-Munich-September-15-1995-Bundesliga,,974862ef
6,Fri,1995-09-15,,Karlsruher,3–1,Düsseldorf,,,Lutz Pohlmann,/en/matches/6a328d98/Karlsruher-Dusseldorf-September-15-1995-Bundesliga,,6a328d98
6,Sat,1995-09-16,,1860 Munich,2–1,Köln,,,Markus Merk,/en/matches/6b4bdb8d/1860-Munich-Koln-September-16-1995-Bundesliga,,6b4bdb8d
6,Sat,1995-09-16,,Dortmund,6–3,Stuttgart,,,Michael Malbranc,/en/matches/f81d7cec/Dortmund-Stuttgart-September-16-1995-Bundesliga,,f81d7cec
6,Sat,1995-09-16,,Freiburg,0–1,Werder Bremen,,,Edgar Steinborn,/en/matches/414cc7ac/Freiburg-Werder-Bremen-September-16-1995-Bundesliga,,414cc7ac
6,Sat,1995-09-16,,Leverkusen,2–0,Eint Frankfurt,,,Günther Habermann,/en/matches/f1cd80f6/Bayer-Leverkusen-Eintracht-Frankfurt-September-16-1995-Bundesliga,,f1cd80f6
6,Sat,1995-09-16,,Uerdingen,1–1,Schalke 04,,,Hermann Albrecht,/en/matches/b6349078/Uerdingen-Schalke-04-September-16-1995-Bundesliga,,b6349078
6,Sun,1995-09-17,,Hamburger SV,1–1,Hansa Rostock,,,Rainer Werthmann,/en/matches/98287850/Hamburger-SV-Hansa-Rostock-September-17-1995-Bundesliga,,98287850
6,Sun,1995-09-17,,M'Gladbach,2–4,St Pauli,,,Winfried Buchhart,/en/matches/5c14f774/Monchengladbach-St-Pauli-September-17-1995-Bundesliga,,5c14f774
7,Fri,1995-09-22,,Düsseldorf,1–0,Uerdingen,,,Hellmut Krug,/en/matches/abbf0f1e/Dusseldorf-Uerdingen-September-22-1995-Bundesliga,,abbf0f1e
7,Fri,1995-09-22,,Eint Frankfurt,3–4,Dortmund,,,Bernd Heynemann,/en/matches/43fa1482/Eintracht-Frankfurt-Dortmund-September-22-1995-Bundesliga,,43fa1482
7,Sat,1995-09-23,,Bayern Munich,1–0,Leverkusen,,,Hans-Jürgen Kasper,/en/matches/33fdeeb1/Bayern-Munich-Bayer-Leverkusen-September-23-1995-Bundesliga,,33fdeeb1
7,Sat,1995-09-23,,Hamburger SV,0–0,Karlsruher,,,Jürgen Aust,/en/matches/ee5bfcf6/Hamburger-SV-Karlsruher-September-23-1995-Bundesliga,,ee5bfcf6
