week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,1997-08-01,,Schalke 04,2–1,Leverkusen,,,Lutz Wagner,/en/matches/ea5ccc55/Schalke-04-Bayer-Leverkusen-August-1-1997-Bundesliga,,ea5ccc55
1,Fri,1997-08-01,,Stuttgart,1–1,1860 Munich,,,Hellmut Krug,/en/matches/e9ae6dfd/Stuttgart-1860-Munich-August-1-1997-Bundesliga,,e9ae6dfd
1,Sat,1997-08-02,,Bayern Munich,0–1,Kaiserslautern,,,Lutz Michael Fröhlich,/en/matches/a0bb68a0/Bayern-Munich-Kaiserslautern-August-2-1997-Bundesliga,,a0bb68a0
1,Sat,1997-08-02,,Bochum,1–0,Arminia,,,Bernhard Zerr,/en/matches/dd79fcc8/Bochum-Arminia-August-2-1997-Bundesliga,,dd79fcc8
1,Sat,1997-08-02,,Hansa Rostock,0–1,Wolfsburg,,,Hans-Jürgen Weber,/en/matches/efc8d3d7/Hansa-Rostock-Wolfsburg-August-2-1997-Bundesliga,,efc8d3d7
1,Sat,1997-08-02,,Karlsruher,3–1,Werder Bremen,,,Georg Dardenne,/en/matches/f0f17e89/Karlsruher-Werder-Bremen-August-2-1997-Bundesliga,,f0f17e89
1,Sat,1997-08-02,,Köln,3–2,MSV Duisburg,,,Hartmut Strampe,/en/matches/5028fda4/Koln-MSV-Duisburg-August-2-1997-Bundesliga,,5028fda4
1,Sun,1997-08-03,,Hamburger SV,2–2,M'Gladbach,,,Markus Merk,/en/matches/79325ccc/Hamburger-SV-Monchengladbach-August-3-1997-Bundesliga,,79325ccc
1,Sun,1997-08-03,,Hertha BSC,1–1,Dortmund,,,Alfons Berg,/en/matches/72ed7367/Hertha-BSC-Dortmund-August-3-1997-Bundesliga,,72ed7367
2,Tue,1997-08-05,,1860 Munich,2–2,Karlsruher,,,Michael Malbranc,/en/matches/8707cf2b/1860-Munich-Karlsruher-August-5-1997-Bundesliga,,8707cf2b
2,Tue,1997-08-05,,Arminia,2–1,Stuttgart,,,Uwe Kemmling,/en/matches/faa2664b/Arminia-Stuttgart-August-5-1997-Bundesliga,,faa2664b
2,Tue,1997-08-05,,Leverkusen,3–2,Bochum,,,Hermann Albrecht,/en/matches/d4fe1e49/Bayer-Leverkusen-Bochum-August-5-1997-Bundesliga,,d4fe1e49
2,Tue,1997-08-05,,MSV Duisburg,1–0,Schalke 04,,,Torsten Koop,/en/matches/252f8ed0/MSV-Duisburg-Schalke-04-August-5-1997-Bundesliga,,252f8ed0
2,Tue,1997-08-05,,Werder Bremen,1–1,Hansa Rostock,,,Wolfgang Stark,/en/matches/db4e7df5/Werder-Bremen-Hansa-Rostock-August-5-1997-Bundesliga,,db4e7df5
2,Wed,1997-08-06,,Dortmund,3–0,Köln,,,Franz-Xaver Wack,/en/matches/cb0851dd/Dortmund-Koln-August-6-1997-Bundesliga,,cb0851dd
2,Wed,1997-08-06,,Kaiserslautern,1–0,Hertha BSC,,,Jürgen Jansen,/en/matches/13ac6b37/Kaiserslautern-Hertha-BSC-August-6-1997-Bundesliga,,13ac6b37
2,Wed,1997-08-06,,M'Gladbach,1–1,Bayern Munich,,,Hartmut Strampe,/en/matches/221d9fd9/Monchengladbach-Bayern-Munich-August-6-1997-Bundesliga,,221d9fd9
2,Wed,1997-08-06,,Wolfsburg,1–1,Hamburger SV,,,Herbert Fandel,/en/matches/0563c107/Wolfsburg-Hamburger-SV-August-6-1997-Bundesliga,,0563c107
3,Fri,1997-08-08,,Bochum,0–0,MSV Duisburg,,,Lutz Michael Fröhlich,/en/matches/e6ad5289/Bochum-MSV-Duisburg-August-8-1997-Bundesliga,,e6ad5289
3,Fri,1997-08-08,,Stuttgart,1–0,Leverkusen,,,Edgar Steinborn,/en/matches/81b6c1b4/Stuttgart-Bayer-Leverkusen-August-8-1997-Bundesliga,,81b6c1b4
