week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,2006-08-11,,Bayern Munich,2–0,Dortmund,,,Knut Kircher,/en/matches/509a13db/Der-Klassiker-Bayern-Munich-Dortmund-August-11-2006-Bundesliga,,509a13db
1,Sat,2006-08-12,,Hamburger SV,1–1,Arminia,,,Helmut Fleischer,/en/matches/70f8671c/Hamburger-SV-Arminia-August-12-2006-Bundesliga,,70f8671c
1,Sat,2006-08-12,,Leverkusen,3–0,AA Aachen,,,Peter Sippel,/en/matches/487cce5d/Bayer-Leverkusen-Alemannia-Aachen-August-12-2006-Bundesliga,,487cce5d
1,Sat,2006-08-12,,M'Gladbach,2–0,Energie Cottbus,,,Peter Gagelmann,/en/matches/1faac84f/Monchengladbach-Energie-Cottbus-August-12-2006-Bundesliga,,1faac84f
1,Sat,2006-08-12,,Mainz 05,2–1,Bochum,,,Michael Weiner,/en/matches/f8c35500/Mainz-05-Bochum-August-12-2006-Bundesliga,,f8c35500
1,Sat,2006-08-12,,Schalke 04,1–1,Eint Frankfurt,,,Wolfgang Stark,/en/matches/67ebe614/Schalke-04-Eintracht-Frankfurt-August-12-2006-Bundesliga,,67ebe614
1,Sat,2006-08-12,,Stuttgart,0–3,Nürnberg,,,Florian Meyer,/en/matches/571d883f/Stuttgart-Nurnberg-August-12-2006-Bundesliga,,571d883f
1,Sun,2006-08-13,,Hannover 96,2–4,Werder Bremen,,,Franz-Xaver Wack,/en/matches/2555a19b/Hannover-96-Werder-Bremen-August-13-2006-Bundesliga,,2555a19b
1,Sun,2006-08-13,,Wolfsburg,0–0,Hertha BSC,,,Thorsten Kinhöfer,/en/matches/a67d19c8/Wolfsburg-Hertha-BSC-August-13-2006-Bundesliga,,a67d19c8
2,Fri,2006-08-18,,Nürnberg,1–0,M'Gladbach,,,Lutz Wagner,/en/matches/22681161/Nurnberg-Monchengladbach-August-18-2006-Bundesliga,,22681161
2,Sat,2006-08-19,,AA Aachen,0–1,Schalke 04,,,Herbert Fandel,/en/matches/91ba0e8d/Alemannia-Aachen-Schalke-04-August-19-2006-Bundesliga,,91ba0e8d
2,Sat,2006-08-19,,Dortmund,1–1,Mainz 05,,,Felix Brych,/en/matches/9fff1627/Dortmund-Mainz-05-August-19-2006-Bundesliga,,9fff1627
2,Sat,2006-08-19,,Eint Frankfurt,0–0,Wolfsburg,,,Markus Schmidt,/en/matches/2cba5bee/Eintracht-Frankfurt-Wolfsburg-August-19-2006-Bundesliga,,2cba5bee
2,Sat,2006-08-19,,Energie Cottbus,2–2,Hamburger SV,,,Günter Perl,/en/matches/84cab467/Energie-Cottbus-Hamburger-SV-August-19-2006-Bundesliga,,84cab467
2,Sat,2006-08-19,,Hertha BSC,4–0,Hannover 96,,,Jochen Drees,/en/matches/5f969f8d/Hertha-BSC-Hannover-96-August-19-2006-Bundesliga,,5f969f8d
2,Sat,2006-08-19,,Werder Bremen,2–1,Leverkusen,,,Wolfgang Stark,/en/matches/10db1b3a/Werder-Bremen-Bayer-Leverkusen-August-19-2006-Bundesliga,,10db1b3a
2,Sun,2006-08-20,,Arminia,2–3,Stuttgart,,,Manuel Gräfe,/en/matches/8347238a/Arminia-Stuttgart-August-20-2006-Bundesliga,,8347238a
2,Sun,2006-08-20,,Bochum,1–2,Bayern Munich,,,Babak Rafati,/en/matches/4c6d9d60/Bochum-Bayern-Munich-August-20-2006-Bundesliga,,4c6d9d60
3,Fri,2006-08-25,,Schalke 04,2–0,Werder Bremen,,,Knut Kircher,/en/matches/853c6ffb/Schalke-04-Werder-Bremen-August-25-2006-Bundesliga,,853c6ffb
3,Sat,2006-08-26,,Bayern Munich,0–0,Nürnberg,,,Thorsten Kinhöfer,/en/matches/bc30b416/Bayern-Munich-Nurnberg-August-26-2006-Bundesliga,,bc30b416
3,Sat,2006-08-26,,Bochum,0–1,Energie Cottbus,,,Michael Kempter,/en/matches/544ba4f0/Bochum-Energie-Cottbus-August-26-2006-Bundesliga,,544ba4f0
3,Sat,2006-08-26,,Hannover 96,0–3,AA Aachen,,,Peter Gagelmann,/en/matches/0c2a74a3/Hannover-96-Alemannia-Aachen-August-26-2006-Bundesliga,,0c2a74a3
3,Sat,2006-08-26,,Leverkusen,1–1,Wolfsburg,,,Helmut Fleischer,/en/matches/9f848655/Bayer-Leverkusen-Wolfsburg-August-26-2006-Bundesliga,,9f848655
3,Sat,2006-08-26,,M'Gladbach,1–0,Arminia,,,Wolfgang Stark,/en/matches/e198d098/Monchengladbach-Arminia-August-26-2006-Bundesliga,,e198d098
3,Sat,2006-08-26,,Stuttgart,1–3,Dortmund,,,Franz-Xaver Wack,/en/matches/0f120196/Stuttgart-Dortmund-August-26-2006-Bundesliga,,0f120196
3,Sun,2006-08-27,,Hamburger SV,1–1,Hertha BSC,,,Herbert Fandel,/en/matches/d45d2c05/Hamburger-SV-Hertha-BSC-August-27-2006-Bundesliga,,d45d2c05
