week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,1999-08-13,,MSV Duisburg,0–0,Leverkusen,,,Franz-Xaver Wack,/en/matches/8b662970/MSV-Duisburg-Bayer-Leverkusen-August-13-1999-Bundesliga,,8b662970
1,Fri,1999-08-13,,Wolfsburg,2–1,1860 Munich,,,Herbert Fandel,/en/matches/f6d4e969/Wolfsburg-1860-Munich-August-13-1999-Bundesliga,,f6d4e969
1,Sat,1999-08-14,,Bayern Munich,2–2,Hamburger SV,,,Markus Merk,/en/matches/65ad7dbb/Bayern-Munich-Hamburger-SV-August-14-1999-Bundesliga,,65ad7dbb
1,Sat,1999-08-14,,Eint Frankfurt,3–0,Unterhaching,,,Uwe Kemmling,/en/matches/e2ba2b45/Eintracht-Frankfurt-Unterhaching-August-14-1999-Bundesliga,,e2ba2b45
1,Sat,1999-08-14,,Kaiserslautern,1–0,Dortmund,,,Bernd Heynemann,/en/matches/24964ce5/Kaiserslautern-Dortmund-August-14-1999-Bundesliga,,24964ce5
1,Sat,1999-08-14,,Schalke 04,1–1,Arminia,,,Edgar Steinborn,/en/matches/0b6380a4/Schalke-04-Arminia-August-14-1999-Bundesliga,,0b6380a4
1,Sat,1999-08-14,,Stuttgart,0–0,Werder Bremen,,,Georg Dardenne,/en/matches/033aa7cc/Stuttgart-Werder-Bremen-August-14-1999-Bundesliga,,033aa7cc
1,Sun,1999-08-15,,Hertha BSC,5–2,Hansa Rostock,,,Hellmut Krug,/en/matches/e346d294/Hertha-BSC-Hansa-Rostock-August-15-1999-Bundesliga,,e346d294
1,Sun,1999-08-15,,Ulm,1–1,Freiburg,,,Lutz Michael Fröhlich,/en/matches/6d40a550/Ulm-Freiburg-August-15-1999-Bundesliga,,6d40a550
2,Fri,1999-08-20,,Arminia,1–1,Hertha BSC,,,Helmut Fleischer,/en/matches/8d6cd885/Arminia-Hertha-BSC-August-20-1999-Bundesliga,,8d6cd885
2,Fri,1999-08-20,,Unterhaching,2–0,MSV Duisburg,,,Bernhard Zerr,/en/matches/d9e3fd04/Unterhaching-MSV-Duisburg-August-20-1999-Bundesliga,,d9e3fd04
2,Sat,1999-08-21,,1860 Munich,4–1,Ulm,,,Florian Meyer,/en/matches/a78c2f35/1860-Munich-Ulm-August-21-1999-Bundesliga,,a78c2f35
2,Sat,1999-08-21,,Dortmund,2–1,Wolfsburg,,,Wolfgang Stark,/en/matches/657e4b99/Dortmund-Wolfsburg-August-21-1999-Bundesliga,,657e4b99
