week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
21,Sat,1991-12-07,,Leverkusen,6–1,Wattenscheid,,,Werner Föckler,/en/matches/23372feb/Bayer-Leverkusen-Wattenscheid-December-7-1991-Bundesliga,,23372feb
21,Sat,1991-12-07,,S'gart Kickers,0–3,Köln,,,Hans-Peter Dellwing,/en/matches/e65054be/Stuttgarter-Kickers-Koln-December-7-1991-Bundesliga,,e65054be
21,Sun,1991-12-08,,MSV Duisburg,1–1,M'Gladbach,,,Hellmut Krug,/en/matches/03dcc94d/MSV-Duisburg-Monchengladbach-December-8-1991-Bundesliga,,03dcc94d
19,Tue,1991-12-10,,Köln,1–1,Dresden,,,Manfred Amerell,/en/matches/ded20294/Koln-Dresden-December-10-1991-Bundesliga,,ded20294
22,Fri,1991-12-13,,Dortmund,4–1,Hansa Rostock,,,Hartmut Strampe,/en/matches/8cdfd699/Dortmund-Hansa-Rostock-December-13-1991-Bundesliga,,8cdfd699
22,Fri,1991-12-13,,Hamburger SV,0–0,Bochum,,,Edgar Steinborn,/en/matches/ec3e1e45/Hamburger-SV-Bochum-December-13-1991-Bundesliga,,ec3e1e45
22,Fri,1991-12-13,,M'Gladbach,1–0,Karlsruher,,,Michael Malbranc,/en/matches/bacb6bf5/Monchengladbach-Karlsruher-December-13-1991-Bundesliga,,bacb6bf5
22,Sat,1991-12-14,,Bayern Munich,3–1,Düsseldorf,,,Manfred Harder,/en/matches/ef6d25b7/Bayern-Munich-Dusseldorf-December-14-1991-Bundesliga,,ef6d25b7
22,Sat,1991-12-14,,Eint Frankfurt,3–0,Dresden,,,Hans-Joachim Osmers,/en/matches/bb59672a/Eintracht-Frankfurt-Dresden-December-14-1991-Bundesliga,,bb59672a
22,Sat,1991-12-14,,Kaiserslautern,2–1,Köln,,,Hans Fux,/en/matches/0f31d3ab/Kaiserslautern-Koln-December-14-1991-Bundesliga,,0f31d3ab
22,Sat,1991-12-14,,Leverkusen,3–1,S'gart Kickers,,,Wolfgang Mierswa,/en/matches/cf884879/Bayer-Leverkusen-Stuttgarter-Kickers-December-14-1991-Bundesliga,,cf884879
22,Sat,1991-12-14,,Nürnberg,0–1,Schalke 04,,,Lutz Michael Fröhlich,/en/matches/945a9ba0/Nurnberg-Schalke-04-December-14-1991-Bundesliga,,945a9ba0
22,Sat,1991-12-14,,Stuttgart,1–1,Werder Bremen,,,Jürgen Aust,/en/matches/33ca55fd/Stuttgart-Werder-Bremen-December-14-1991-Bundesliga,,33ca55fd
22,Sat,1991-12-14,,Wattenscheid,2–0,MSV Duisburg,,,Alfons Berg,/en/matches/56e8aa32/Wattenscheid-MSV-Duisburg-December-14-1991-Bundesliga,,56e8aa32
23,Fri,1992-02-07,,Bochum,0–0,Eint Frankfurt,,,Lutz Michael Fröhlich,/en/matches/ae314ea7/Bochum-Eintracht-Frankfurt-February-7-1992-Bundesliga,,ae314ea7
23,Fri,1992-02-07,,Dresden,1–2,Nürnberg,,,Karl-Heinz Gläser,/en/matches/889e3983/Dresden-Nurnberg-February-7-1992-Bundesliga,,889e3983
23,Fri,1992-02-07,,Karlsruher,1–2,Wattenscheid,,,Wolf-Günter Wiesel,/en/matches/89c0c6d4/Karlsruher-Wattenscheid-February-7-1992-Bundesliga,,89c0c6d4
23,Sat,1992-02-08,,Düsseldorf,1–1,Dortmund,,,Karl-Josef Assenmacher,/en/matches/d657ddd9/Dusseldorf-Dortmund-February-8-1992-Bundesliga,,d657ddd9
