week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,2002-08-09,,Dortmund,2–2,Hertha BSC,,,Markus Merk,/en/matches/9a43b288/Dortmund-Hertha-BSC-August-9-2002-Bundesliga,,9a43b288
1,Sat,2002-08-10,,Energie Cottbus,1–1,Leverkusen,,,Helmut Fleischer,/en/matches/e3508b54/Energie-Cottbus-Bayer-Leverkusen-August-10-2002-Bundesliga,,e3508b54
1,Sat,2002-08-10,,M'Gladbach,0–0,Bayern Munich,,,Hellmut Krug,/en/matches/2d2eaf6a/Monchengladbach-Bayern-Munich-August-10-2002-Bundesliga,,2d2eaf6a
1,Sat,2002-08-10,,Nürnberg,1–3,Bochum,,,Michael Weiner,/en/matches/2a3a8eb3/Nurnberg-Bochum-August-10-2002-Bundesliga,,2a3a8eb3
1,Sat,2002-08-10,,Schalke 04,1–0,Wolfsburg,,,Wolfgang Stark,/en/matches/87cc0e2b/Schalke-04-Wolfsburg-August-10-2002-Bundesliga,,87cc0e2b
1,Sat,2002-08-10,,Stuttgart,1–1,Kaiserslautern,,,Lutz Michael Fröhlich,/en/matches/ab54e6b9/Stuttgart-Kaiserslautern-August-10-2002-Bundesliga,,ab54e6b9
1,Sun,2002-08-11,,Arminia,3–0,Werder Bremen,,,Herbert Fandel,/en/matches/daae352d/Arminia-Werder-Bremen-August-11-2002-Bundesliga,,daae352d
1,Sun,2002-08-11,,Hamburger SV,2–1,Hannover 96,,,Hermann Albrecht,/en/matches/32a33fb2/Hamburger-SV-Hannover-96-August-11-2002-Bundesliga,,32a33fb2
1,Wed,2002-08-14,,1860 Munich,0–2,Hansa Rostock,,,Thorsten Kinhöfer,/en/matches/a666f6b4/1860-Munich-Hansa-Rostock-August-14-2002-Bundesliga,,a666f6b4
2,Sat,2002-08-17,,Bayern Munich,6–2,Arminia,,,Peter Gagelmann,/en/matches/57bcd123/Bayern-Munich-Arminia-August-17-2002-Bundesliga,,57bcd123
2,Sat,2002-08-17,,Bochum,5–0,Energie Cottbus,,,Uwe Kemmling,/en/matches/f6fab697/Bochum-Energie-Cottbus-August-17-2002-Bundesliga,,f6fab697
