week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,1992-08-14,,Kaiserslautern,1–0,Köln,,,Manfred Amerell,/en/matches/546d44a2/Kaiserslautern-Koln-August-14-1992-Bundesliga,,546d44a2
1,Fri,1992-08-14,,Leverkusen,1–1,Saarbrücken,,,Hans-Peter Best,/en/matches/8003f74a/Bayer-Leverkusen-Saarbrucken-August-14-1992-Bundesliga,,8003f74a
1,Fri,1992-08-14,,Nürnberg,0–0,Werder Bremen,,,Markus Merk,/en/matches/144957c7/Nurnberg-Werder-Bremen-August-14-1992-Bundesliga,,144957c7
1,Sat,1992-08-15,,Bochum,2–2,Dortmund,,,Hans Scheuerer,/en/matches/dccd4348/Bochum-Dortmund-August-15-1992-Bundesliga,,dccd4348
1,Sat,1992-08-15,,Eint Frankfurt,1–1,Dresden,,,Jürgen Wippermann,/en/matches/6c3b22ee/Eintracht-Frankfurt-Dresden-August-15-1992-Bundesliga,,6c3b22ee
1,Sat,1992-08-15,,Hamburger SV,1–1,Stuttgart,,,Klaus-Dieter Stenzel,/en/matches/dabd98f3/Hamburger-SV-Stuttgart-August-15-1992-Bundesliga,,dabd98f3
1,Sat,1992-08-15,,Karlsruher,4–2,M'Gladbach,,,Peter Mölm,/en/matches/56374105/Karlsruher-Monchengladbach-August-15-1992-Bundesliga,,56374105
1,Sat,1992-08-15,,Schalke 04,3–4,Wattenscheid,,,Aron Schmidhuber,/en/matches/04ee0641/Schalke-04-Wattenscheid-August-15-1992-Bundesliga,,04ee0641
1,Sat,1992-08-15,,Uerdingen,0–3,Bayern Munich,,,Norbert Haupt,/en/matches/b2342d01/Uerdingen-Bayern-Munich-August-15-1992-Bundesliga,,b2342d01
2,Fri,1992-08-21,,Dresden,1–1,Hamburger SV,,,Karl-Heinz Gläser,/en/matches/d664cf40/Dresden-Hamburger-SV-August-21-1992-Bundesliga,,d664cf40
2,Fri,1992-08-21,,Wattenscheid,1–1,Uerdingen,,,Frank Kiefer,/en/matches/c97d86a1/Wattenscheid-Uerdingen-August-21-1992-Bundesliga,,c97d86a1
2,Sat,1992-08-22,,Bayern Munich,1–0,Kaiserslautern,,,Wieland Ziller,/en/matches/63015c73/Bayern-Munich-Kaiserslautern-August-22-1992-Bundesliga,,63015c73
