week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,2010-08-20,,Bayern Munich,2–1,Wolfsburg,,,Thorsten Kinhöfer,/en/matches/3870460d/Bayern-Munich-Wolfsburg-August-20-2010-Bundesliga,,3870460d
1,Sat,2010-08-21,,Freiburg,1–3,St. Pauli,,,Jochen Drees,/en/matches/51560602/Freiburg-St-Pauli-August-21-2010-Bundesliga,,51560602
1,Sat,2010-08-21,,Hamburger SV,2–1,Schalke 04,,,Wolfgang Stark,/en/matches/f3ab0a21/Hamburger-SV-Schalke-04-August-21-2010-Bundesliga,,f3ab0a21
1,Sat,2010-08-21,,Hannover 96,2–1,Eint Frankfurt,,,Deniz Aytekin,/en/matches/1126758f/Hannover-96-Eintracht-Frankfurt-August-21-2010-Bundesliga,,1126758f
1,Sat,2010-08-21,,Hoffenheim,4–1,Werder Bremen,,,Günter Perl,/en/matches/64a688f4/Hoffenheim-Werder-Bremen-August-21-2010-Bundesliga,,64a688f4
1,Sat,2010-08-21,,Köln,1–3,Kaiserslautern,,,Felix Brych,/en/matches/cf09dc2b/Koln-Kaiserslautern-August-21-2010-Bundesliga,,cf09dc2b
1,Sat,2010-08-21,,M'Gladbach,1–1,Nürnberg,,,Peter Gagelmann,/en/matches/eca9a622/Monchengladbach-Nurnberg-August-21-2010-Bundesliga,,eca9a622
1,Sun,2010-08-22,,Dortmund,0–2,Leverkusen,,,Florian Meyer,/en/matches/324be04b/Dortmund-Bayer-Leverkusen-August-22-2010-Bundesliga,,324be04b
1,Sun,2010-08-22,,Mainz 05,2–0,Stuttgart,,,Manuel Gräfe,/en/matches/860a878e/Mainz-05-Stuttgart-August-22-2010-Bundesliga,,860a878e
2,Fri,2010-08-27,,Kaiserslautern,2–0,Bayern Munich,,,Florian Meyer,/en/matches/7cdff024/Kaiserslautern-Bayern-Munich-August-27-2010-Bundesliga,,7cdff024
2,Sat,2010-08-28,,Eint Frankfurt,1–3,Hamburger SV,,,Felix Zwayer,/en/matches/be3772cf/Eintracht-Frankfurt-Hamburger-SV-August-28-2010-Bundesliga,,be3772cf
2,Sat,2010-08-28,,Nürnberg,1–2,Freiburg,,,Tobias Welz,/en/matches/7f9a761d/Nurnberg-Freiburg-August-28-2010-Bundesliga,,7f9a761d
2,Sat,2010-08-28,,Schalke 04,1–2,Hannover 96,,,Markus Schmidt,/en/matches/67ee343b/Schalke-04-Hannover-96-August-28-2010-Bundesliga,,67ee343b
2,Sat,2010-08-28,,St. Pauli,0–1,Hoffenheim,,,Manuel Gräfe,/en/matches/f914f146/St-Pauli-Hoffenheim-August-28-2010-Bundesliga,,f914f146
2,Sat,2010-08-28,,Werder Bremen,4–2,Köln,,,Marco Fritz,/en/matches/dd5fe81b/Werder-Bremen-Koln-August-28-2010-Bundesliga,,dd5fe81b
2,Sat,2010-08-28,,Wolfsburg,3–4,Mainz 05,,,Peter Sippel,/en/matches/6f8d18a4/Wolfsburg-Mainz-05-August-28-2010-Bundesliga,,6f8d18a4
2,Sun,2010-08-29,,Leverkusen,3–6,M'Gladbach,,,Wolfgang Stark,/en/matches/c840dd76/Bayer-Leverkusen-Monchengladbach-August-29-2010-Bundesliga,,c840dd76
2,Sun,2010-08-29,,Stuttgart,1–3,Dortmund,,,Peter Gagelmann,/en/matches/43d7f5fb/Stuttgart-Dortmund-August-29-2010-Bundesliga,,43d7f5fb
3,Fri,2010-09-10,,Hoffenheim,2–0,Schalke 04,,,Felix Brych,/en/matches/9adcc42e/Hoffenheim-Schalke-04-September-10-2010-Bundesliga,,9adcc42e
3,Sat,2010-09-11,,Bayern Munich,0–0,Werder Bremen,,,Knut Kircher,/en/matches/826d3e02/Bayern-Munich-Werder-Bremen-September-11-2010-Bundesliga,,826d3e02
3,Sat,2010-09-11,,Dortmund,2–0,Wolfsburg,,,Deniz Aytekin,/en/matches/7a66cddf/Dortmund-Wolfsburg-September-11-2010-Bundesliga,,7a66cddf
3,Sat,2010-09-11,,Freiburg,2–1,Stuttgart,,,Peter Sippel,/en/matches/bb1e48e1/Freiburg-Stuttgart-September-11-2010-Bundesliga,,bb1e48e1
3,Sat,2010-09-11,,Hamburger SV,1–1,Nürnberg,,,Markus Wingenbach,/en/matches/a9179e62/Hamburger-SV-Nurnberg-September-11-2010-Bundesliga,,a9179e62
3,Sat,2010-09-11,,Hannover 96,2–2,Leverkusen,,,Guido Winkmann,/en/matches/2fb00e0c/Hannover-96-Bayer-Leverkusen-September-11-2010-Bundesliga,,2fb00e0c
3,Sat,2010-09-11,,M'Gladbach,0–4,Eint Frankfurt,,,Jochen Drees,/en/matches/ac459cbf/Monchengladbach-Eintracht-Frankfurt-September-11-2010-Bundesliga,,ac459cbf
