week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,1988-07-22,,Dortmund,1–2,Stuttgart,,,Wilfried Heitmann,/en/matches/de16c283/Dortmund-Stuttgart-July-22-1988-Bundesliga,,de16c283
1,Fri,1988-07-22,,Mannheim,1–1,Leverkusen,,,Anton Matheis,/en/matches/1552950c/Mannheim-Bayer-Leverkusen-July-22-1988-Bundesliga,,1552950c
1,Sat,1988-07-23,,Bayern Munich,3–0,Eint Frankfurt,,,Kurt Witke,/en/matches/f3b7055e/Bayern-Munich-Eintracht-Frankfurt-July-23-1988-Bundesliga,,f3b7055e
1,Sat,1988-07-23,,Gladbach,4–1,Kaiserslautern,,,Hans Fux,/en/matches/f9d13076/Monchengladbach-Kaiserslautern-July-23-1988-Bundesliga,,f9d13076
1,Sat,1988-07-23,,Hannover 96,2–3,Karlsruher,,,Dieter Pauly,/en/matches/d0ab313a/Hannover-96-Karlsruher-July-23-1988-Bundesliga,,d0ab313a
1,Sat,1988-07-23,,Köln,1–1,Uerdingen,,,Aron Schmidhuber,/en/matches/60638dc6/Koln-Uerdingen-July-23-1988-Bundesliga,,60638dc6
1,Sat,1988-07-23,,S'gart Kickers,1–2,Bochum,,,Wolf-Günter Wiesel,/en/matches/4b02b1c0/Stuttgarter-Kickers-Bochum-July-23-1988-Bundesliga,,4b02b1c0
1,Sat,1988-07-23,,St Pauli,0–1,Nürnberg,,,Peter Richmann,/en/matches/289d911a/St-Pauli-Nurnberg-July-23-1988-Bundesliga,,289d911a
1,Sat,1988-07-23,,Werder Bremen,2–1,Hamburger SV,,,Eugen Strigel,/en/matches/649fca06/Werder-Bremen-Hamburger-SV-July-23-1988-Bundesliga,,649fca06
2,Fri,1988-07-29,,Hamburger SV,0–0,Dortmund,,,Heinz Werner,/en/matches/23c8b987/Hamburger-SV-Dortmund-July-29-1988-Bundesliga,,23c8b987
2,Fri,1988-07-29,,Stuttgart,2–1,Hannover 96,,,Karl-Josef Assenmacher,/en/matches/fac6419b/Stuttgart-Hannover-96-July-29-1988-Bundesliga,,fac6419b
2,Sat,1988-07-30,,Bochum,0–0,St Pauli,,,Siegfried Brehm,/en/matches/bfe39d4e/Bochum-St-Pauli-July-30-1988-Bundesliga,,bfe39d4e
